#{"t_start": 1787940115.601541, "env_id": "None"}
r,l,t
-3.5,11,0.056179
4.45,4,0.095035
4.6,3,0.130567
4.3,5,0.166784
-3.1,3,0.192246
-3.45,10,0.240466
-3.45,10,0.280411
-3.0,1,0.304164
-3.2,5,0.33763
-3.15,4,0.365784
4.6,3,0.396892
-1.75,15,0.442333
-3.0,1,0.466282
-3.0,1,0.490208
-3.15,4,0.523999
-3.15,4,0.555095
-3.0,1,0.58236
-3.0,1,0.607264
-3.0,1,0.630696
-3.0,1,0.65263
-3.05,2,0.680563
-3.0,1,0.701219
3.1,13,0.741815
-3.0,1,0.76611
-3.05,2,0.789577
-3.0,1,0.812231
-3.0,1,0.835169
3.4,11,0.870983
-3.15,4,0.899315
-3.15,4,0.929502
-3.0,1,0.956325
-3.15,4,0.982978
-3.05,2,1.007508
-3.0,1,1.033677
4.6,3,1.062742
4.0,7,1.095827
-3.0,1,1.124468
-3.1,3,1.149501
-3.05,2,1.172665
-3.05,2,1.200135
-3.0,1,1.231086
-3.05,2,1.265085
-3.6,13,1.311512
4.6,3,1.33778
4.3,5,1.370008
-3.35,8,1.407584
4.6,3,1.436934
-3.0,1,1.457416
-3.0,1,1.482652
-3.0,1,1.506702
-3.05,2,1.532984
-3.0,1,1.553798
-3.0,1,1.580365
-3.0,1,1.603394
4.75,2,1.628881
-3.1,3,1.652152
-3.1,3,1.680528
-3.15,4,1.711109
-3.15,4,1.740242
-3.0,1,1.763697
-3.25,6,1.794878
-3.05,2,1.818762
4.75,2,1.842911
-3.0,1,1.869407
-3.0,1,1.890859
-3.05,2,1.918245
-3.0,1,1.93855
4.15,6,1.971838
-3.05,2,1.997319
-3.0,1,2.02065
-3.05,2,2.052477
-3.0,1,2.082253
3.85,8,2.12939
-3.0,1,2.152308
-3.4,9,2.348428
-3.0,1,2.37853
-3.35,8,2.412022
-3.15,4,2.436712
-3.3,7,2.469824
-1.75,15,2.515157
-3.1,3,2.540259
-3.0,1,2.562541
-3.1,3,2.587621
-3.2,5,2.615581
-3.25,6,2.646329
-3.1,3,2.67206
-3.7,15,2.724849
-3.0,1,2.749442
-3.0,1,2.769479
