#{"t_start": 1787939683.2556648, "env_id": "None"}
r,l,t
-3.15,4,0.042505
-3.0,1,0.065958
-3.0,1,0.09587
4.3,5,0.137754
3.85,8,0.178028
-3.0,1,0.200268
-3.05,2,0.223058
-3.25,6,0.252641
-3.05,2,0.279182
-3.0,1,0.299789
4.15,6,0.333721
-3.3,7,0.367118
-3.0,1,0.390007
-3.0,1,0.414548
-3.1,3,0.440428
-3.0,1,0.46253
-3.1,3,0.491909
-3.05,2,0.516077
-3.3,7,0.55828
4.45,4,0.586808
-3.0,1,0.611354
-1.75,15,0.654172
-3.1,3,0.681535
-3.4,9,0.714252
3.85,8,0.757478
-3.1,3,0.782057
4.3,5,0.814258
-3.05,2,0.835333
-3.1,3,0.861946
-3.0,1,0.883113
4.75,2,0.906648
-3.5,11,0.94527
-3.2,5,0.973208
4.3,5,1.000134
4.15,6,1.030182
4.6,3,1.056888
-3.0,1,1.079727
-3.5,11,1.116299
4.0,7,1.148878
-3.15,4,1.176198
4.15,6,1.209998
3.55,10,1.252376
-3.15,4,1.282602
-3.05,2,1.307936
-3.3,7,1.343951
-3.05,2,1.367048
-3.0,1,1.389644
-3.6,13,1.434125
-3.3,7,1.465722
4.45,4,1.494288
-3.0,1,1.516879
4.6,3,1.544544
-3.0,1,1.569139
-3.0,1,1.592714
-3.05,2,1.62551
-3.25,6,1.655185
4.6,3,1.683728
3.85,8,1.720299
2.8,15,1.919426
-3.05,2,1.952529
-3.05,2,1.976462
4.0,7,2.008788
4.45,4,2.035465
3.7,9,2.07431
-3.1,3,2.100152
-3.65,14,2.144726
4.45,4,2.173721
4.15,6,2.202622
-3.0,1,2.228079
-3.25,6,2.257293
-3.45,10,2.296018
-3.2,5,2.324411
-3.0,1,2.349134
-3.0,1,2.374823
-1.75,15,2.426951
4.45,4,2.46224
-3.5,11,2.501957
-3.15,4,2.535608
4.3,5,2.566119
4.0,7,2.602784
-3.15,4,2.630968
-3.0,1,2.652933
-3.15,4,2.686924
-3.1,3,2.721841
4.15,6,2.756781
-3.0,1,2.789986
-3.0,1,2.818574
-3.0,1,2.851019
-3.1,3,2.881393
-3.15,4,2.913928
-3.05,2,2.943709
-3.4,9,2.982929
4.15,6,3.018573
-1.75,15,3.072367
4.75,2,3.099898
-3.2,5,3.130914
-3.1,3,3.157933
4.0,7,3.193359
-3.2,5,3.222414
-3.05,2,3.245674
4.6,3,3.275095
-3.25,6,3.308789
-3.15,4,3.337841
-3.2,5,3.370404
-3.1,3,3.401942
-3.0,1,3.428215
-3.0,1,3.448271
-3.3,7,3.48097
-3.25,6,3.508898
-1.75,15,3.700022
-3.35,8,3.733366
-3.0,1,3.756676
-3.6,13,3.799079
-3.05,2,3.822241
4.6,3,3.846002
-3.0,1,3.871768
-3.0,1,3.900153
4.6,3,3.935311
-3.05,2,3.963188
4.3,5,3.994363
-3.0,1,4.015884
-3.1,3,4.044647
4.6,3,4.074696
-3.0,1,4.101295
-3.0,1,4.12872
-3.0,1,4.148676
3.85,8,4.18559
3.85,8,4.223899
4.3,5,4.251106
-3.25,6,4.284065
-3.15,4,4.312321
4.0,7,4.343057
-3.1,3,4.368398
4.75,2,4.393851
-3.2,5,4.424261
-3.05,2,4.451146
-3.1,3,4.47958
4.6,3,4.508125
-3.0,1,4.534791
4.3,5,4.567715
4.45,4,4.602683
3.25,12,4.649227
-3.25,6,4.682239
4.45,4,4.71121
-3.1,3,4.74155
-3.3,7,4.783008
-3.2,5,4.823529
4.6,3,4.856169
4.0,7,4.892796
-3.0,1,4.915503
-3.1,3,4.943263
-3.5,11,4.982225
-3.15,4,5.010016
4.75,2,5.035702
-3.0,1,5.057628
-3.0,1,5.078861
4.15,6,5.108066
-3.0,1,5.128852
4.6,3,5.156075
-3.15,4,5.185247
-3.05,2,5.210835
4.45,4,5.238018
4.0,7,5.276125
-3.05,2,5.306607
