#{"t_start": 1787938826.8812723, "env_id": "None"}
r,l,t
-3.0,1,0.039522
-3.0,1,0.061366
-3.0,1,0.085481
-3.05,2,0.112872
4.75,2,0.134552
4.6,3,0.16336
-3.15,4,0.193
4.9,1,0.224304
-3.05,2,0.255654
3.85,8,0.29388
4.45,4,0.326028
-3.25,6,0.360618
-3.1,3,0.396801
4.75,2,0.425879
-3.05,2,0.459723
-3.0,1,0.487825
-3.0,1,0.511227
-3.15,4,0.542012
-3.0,1,0.56461
-3.0,1,0.587944
-3.15,4,0.615815
-3.35,8,0.651006
4.75,2,0.67823
-3.0,1,0.705394
4.3,5,0.73863
4.45,4,0.773292
-3.0,1,0.79587
3.25,12,0.838024
4.0,7,0.86876
-3.0,1,0.89448
-3.0,1,0.921868
-3.4,9,0.955868
-3.3,7,0.994295
-3.2,5,1.022499
-3.1,3,1.048294
4.45,4,1.081881
-3.45,10,1.127449
3.25,12,1.17699
-3.25,6,1.2093
3.85,8,1.243438
-3.0,1,1.268396
-3.15,4,1.296464
-3.1,3,1.321109
4.75,2,1.345323
-3.0,1,1.370512
-3.05,2,1.396349
4.45,4,1.42116
-3.1,3,1.445835
-3.0,1,1.470918
-3.0,1,1.50235
-3.5,11,1.543414
-3.15,4,1.573524
4.9,1,1.596045
-3.25,6,1.629116
4.0,7,1.671536
4.45,4,1.700481
-3.0,1,1.725097
4.6,3,1.75474
-1.75,15,1.807025
4.75,2,1.83283
-3.45,10,1.874382
-3.35,8,1.911376
4.15,6,2.107498
-3.15,4,2.134331
-1.75,15,2.181122
-3.05,2,2.208308
3.85,8,2.248899
4.6,3,2.283144
-3.1,3,2.310264
4.3,5,2.341578
4.6,3,2.367594
-3.0,1,2.390064
4.15,6,2.424631
-3.55,12,2.463241
-3.15,4,2.498983
-3.25,6,2.539644
-3.0,1,2.564348
-3.3,7,2.605989
-3.1,3,2.634583
-3.1,3,2.667133
-3.05,2,2.695553
3.25,12,2.750336
4.6,3,2.777909
-3.0,1,2.803767
-3.1,3,2.827839
4.3,5,2.858123
-3.1,3,2.887416
-3.0,1,2.91187
4.6,3,2.94125
-3.05,2,2.969434
4.45,4,2.99824
-3.0,1,3.020103
-3.05,2,3.047574
-3.05,2,3.070123
3.85,8,3.105781
-3.5,11,3.147028
-3.0,1,3.168258
4.6,3,3.197223
4.75,2,3.226329
3.85,8,3.26632
-3.35,8,3.300636
-3.05,2,3.324907
-3.15,4,3.355476
-3.1,3,3.386029
-3.1,3,3.415375
2.95,14,3.471167
-3.3,7,3.508234
3.7,9,3.549174
4.9,1,3.576007
4.15,6,3.621113
4.6,3,3.651137
4.3,5,3.685862
-3.1,3,3.719406
4.0,7,3.757361
-3.0,1,3.78682
4.45,4,3.819086
-3.05,2,3.862054
-3.0,1,3.903289
-3.15,4,3.945536
-3.0,1,3.9733
-3.1,3,4.192607
-3.05,2,4.216794
-3.0,1,4.244465
4.9,1,4.265836
-3.15,4,4.293669
-3.0,1,4.316194
-3.3,7,4.347986
-3.1,3,4.374153
-3.1,3,4.402372
4.15,6,4.432345
4.15,6,4.464645
-3.0,1,4.488751
4.6,3,4.513449
4.0,7,4.546275
-3.05,2,4.570952
-3.0,1,4.597611
-3.05,2,4.621922
4.15,6,4.653789
4.75,2,4.677022
-3.15,4,4.70685
-3.05,2,4.73123
-3.0,1,4.751997
-3.05,2,4.776664
-3.2,5,4.807573
-3.0,1,4.82738
-3.4,9,4.86113
-3.15,4,4.888775
-3.15,4,4.918196
-3.1,3,4.951104
-3.2,5,4.987281
4.6,3,5.016246
-3.0,1,5.041081
-3.35,8,5.08367
4.75,2,5.111825
3.7,9,5.156648
3.1,13,5.202937
-3.4,9,5.242877
-3.1,3,5.274114
-3.2,5,5.304229
-3.35,8,5.340996
-3.0,1,5.368668
4.75,2,5.394166
-1.75,15,5.438151
-3.0,1,5.460403
-3.5,11,5.499795
4.3,5,5.528858
4.75,2,5.552619
4.15,6,5.585436
-3.1,3,5.616748
-3.05,2,5.643023
-3.0,1,5.665582
4.6,3,5.692242
-3.0,1,5.716769
-3.15,4,5.745112
-3.0,1,5.771664
-3.15,4,5.799769
-3.1,3,5.836552
-3.1,3,5.869094
-3.2,5,5.9041
-3.05,2,5.930211
4.6,3,5.959754
-3.05,2,5.987411
-3.05,2,6.020638
-3.3,7,6.051088
4.0,7,6.23722
-3.4,9,6.274528
4.45,4,6.30576
3.4,11,6.339848
-3.25,6,6.369947
-3.15,4,6.395635
-3.0,1,6.422268
-3.55,12,6.46231
-3.15,4,6.49195
-3.15,4,6.526843
-3.0,1,6.547886
4.3,5,6.579899
4.15,6,6.614541
-3.3,7,6.65296
4.45,4,6.686357
4.3,5,6.714913
4.15,6,6.747513
3.7,9,6.785423
4.6,3,6.811765
-3.35,8,6.843684
-3.05,2,6.875921
-3.05,2,6.904053
-3.1,3,6.933447
-3.0,1,6.954541
-3.0,1,6.977157
-3.35,8,7.010345
-3.3,7,7.051098
-3.25,6,7.087088
-3.25,6,7.127786
-3.25,6,7.163208
-3.3,7,7.197871
-3.35,8,7.233991
-3.1,3,7.260171
4.6,3,7.290865
-3.0,1,7.315642
-3.0,1,7.341523
-3.2,5,7.373102
-3.25,6,7.407323
-3.15,4,7.432623
-3.3,7,7.462224
-3.1,3,7.492217
-3.4,9,7.528733
-3.0,1,7.552823
-3.45,10,7.586957
-3.25,6,7.6222
4.9,1,7.646492
-3.3,7,7.679661
-3.0,1,7.706285
4.75,2,7.728325
-3.1,3,7.755908
-3.0,1,7.776264
-3.15,4,7.806051
-3.2,5,7.835612
-3.15,4,7.860521
-3.05,2,7.887384
-3.1,3,8.076023
-3.05,2,8.10184
-3.55,12,8.143747
-3.15,4,8.171918
-3.0,1,8.194545
-3.1,3,8.22478
-3.0,1,8.246341
-3.05,2,8.282857
-3.05,2,8.31504
4.45,4,8.342957
-3.05,2,8.368149
4.75,2,8.393931
-3.05,2,8.424438
-3.55,12,8.467512
