episode,reward,length,elapsed_seconds
1,-3.0,1,0.03952169418334961
2,-3.0,1,0.06136608123779297
3,-3.0,1,0.08548140525817871
4,-3.05,2,0.11287164688110352
5,4.75,2,0.1345517635345459
6,4.6000000000000005,3,0.1633603572845459
7,-3.15,4,0.19300007820129395
8,4.9,1,0.2243039608001709
9,-3.05,2,0.25565409660339355
10,3.85,8,0.29387998580932617
11,4.449999999999999,4,0.32602763175964355
12,-3.25,6,0.36061763763427734
13,-3.1,3,0.396801233291626
14,4.75,2,0.42587852478027344
15,-3.05,2,0.45972347259521484
16,-3.0,1,0.4878249168395996
17,-3.0,1,0.5112271308898926
18,-3.15,4,0.5420117378234863
19,-3.0,1,0.564610481262207
20,-3.0,1,0.5879440307617188
21,-3.15,4,0.6158151626586914
22,-3.35,8,0.6510064601898193
23,4.75,2,0.6782302856445312
24,-3.0,1,0.7053935527801514
25,4.3,5,0.7386302947998047
26,4.449999999999999,4,0.7732915878295898
27,-3.0,1,0.795870304107666
28,3.25,12,0.8380236625671387
29,4.0,7,0.8687596321105957
30,-3.0,1,0.8944804668426514
31,-3.0,1,0.921868085861206
32,-3.4,9,0.9558680057525635
33,-3.3,7,0.9942953586578369
34,-3.2,5,1.0224990844726562
35,-3.1,3,1.0482935905456543
36,4.449999999999999,4,1.081880807876587
37,-3.45,10,1.1274490356445312
38,3.25,12,1.176990032196045
39,-3.25,6,1.2092998027801514
40,3.85,8,1.2434375286102295
41,-3.0,1,1.2683961391448975
42,-3.15,4,1.2964637279510498
43,-3.1,3,1.3211090564727783
44,4.75,2,1.345322847366333
45,-3.0,1,1.370511531829834
46,-3.05,2,1.3963494300842285
47,4.449999999999999,4,1.4211599826812744
48,-3.1,3,1.4458353519439697
49,-3.0,1,1.4709184169769287
50,-3.0,1,1.502349615097046
51,-3.5,11,1.5434143543243408
52,-3.15,4,1.573523998260498
53,4.9,1,1.5960447788238525
54,-3.25,6,1.6291155815124512
55,4.0,7,1.6715364456176758
56,4.449999999999999,4,1.7004806995391846
57,-3.0,1,1.7250971794128418
58,4.6000000000000005,3,1.7547399997711182
59,-1.75,15,1.8070251941680908
60,4.75,2,1.8328301906585693
61,-3.45,10,1.874382495880127
62,-3.35,8,1.9113757610321045
63,4.15,6,2.1074984073638916
64,-3.15,4,2.134330987930298
65,-1.75,15,2.181121826171875
66,-3.05,2,2.208307981491089
67,3.85,8,2.248899221420288
68,4.6000000000000005,3,2.2831435203552246
69,-3.1,3,2.3102638721466064
70,4.3,5,2.341578245162964
71,4.6000000000000005,3,2.36759352684021
72,-3.0,1,2.390063762664795
73,4.15,6,2.424630880355835
74,-3.55,12,2.4632408618927
75,-3.15,4,2.4989826679229736
76,-3.25,6,2.5396437644958496
77,-3.0,1,2.5643482208251953
78,-3.3,7,2.6059889793395996
79,-3.1,3,2.6345832347869873
80,-3.1,3,2.667133092880249
81,-3.05,2,2.6955530643463135
82,3.25,12,2.7503364086151123
83,4.6000000000000005,3,2.77790904045105
84,-3.0,1,2.803766965866089
85,-3.1,3,2.827838897705078
86,4.3,5,2.8581230640411377
87,-3.1,3,2.887416124343872
88,-3.0,1,2.911869764328003
89,4.6000000000000005,3,2.9412498474121094
90,-3.05,2,2.9694340229034424
91,4.449999999999999,4,2.9982402324676514
92,-3.0,1,3.0201025009155273
93,-3.05,2,3.0475738048553467
94,-3.05,2,3.0701234340667725
95,3.85,8,3.105780601501465
96,-3.5,11,3.1470279693603516
97,-3.0,1,3.168257713317871
98,4.6000000000000005,3,3.19722318649292
99,4.75,2,3.2263290882110596
100,3.85,8,3.266319990158081
101,-3.35,8,3.300636053085327
102,-3.05,2,3.3249073028564453
103,-3.15,4,3.3554763793945312
104,-3.1,3,3.386028528213501
105,-3.1,3,3.4153754711151123
106,2.9499999999999997,14,3.4711670875549316
107,-3.3,7,3.5082340240478516
108,3.6999999999999997,9,3.5491738319396973
109,4.9,1,3.576007127761841
110,4.15,6,3.621112823486328
111,4.6000000000000005,3,3.651137113571167
112,4.3,5,3.685861825942993
113,-3.1,3,3.7194063663482666
114,4.0,7,3.7573611736297607
115,-3.0,1,3.7868196964263916
116,4.449999999999999,4,3.8190855979919434
117,-3.05,2,3.8620541095733643
118,-3.0,1,3.903289318084717
119,-3.15,4,3.945535898208618
120,-3.0,1,3.9733004570007324
121,-3.1,3,4.192607164382935
122,-3.05,2,4.216794490814209
123,-3.0,1,4.244464635848999
124,4.9,1,4.265835523605347
125,-3.15,4,4.2936694622039795
126,-3.0,1,4.316194295883179
127,-3.3,7,4.3479859828948975
128,-3.1,3,4.374152660369873
129,-3.1,3,4.402371644973755
130,4.15,6,4.432345151901245
131,4.15,6,4.4646453857421875
132,-3.0,1,4.488751411437988
133,4.6000000000000005,3,4.513449430465698
134,4.0,7,4.54627537727356
135,-3.05,2,4.570951700210571
136,-3.0,1,4.59761118888855
137,-3.05,2,4.62192177772522
138,4.15,6,4.6537885665893555
139,4.75,2,4.677022218704224
140,-3.15,4,4.706849575042725
141,-3.05,2,4.731230020523071
142,-3.0,1,4.751996755599976
143,-3.05,2,4.77666449546814
144,-3.2,5,4.807573080062866
145,-3.0,1,4.827379941940308
146,-3.4,9,4.8611297607421875
147,-3.15,4,4.888774633407593
148,-3.15,4,4.918195962905884
149,-3.1,3,4.951104402542114
150,-3.2,5,4.98728084564209
151,4.6000000000000005,3,5.016245603561401
152,-3.0,1,5.041080951690674
153,-3.35,8,5.083669662475586
154,4.75,2,5.111824989318848
155,3.6999999999999997,9,5.156647682189941
156,3.1,13,5.202937126159668
157,-3.4,9,5.242877006530762
158,-3.1,3,5.274114370346069
159,-3.2,5,5.304229497909546
160,-3.35,8,5.340995788574219
161,-3.0,1,5.3686683177948
162,4.75,2,5.394165515899658
163,-1.75,15,5.4381513595581055
164,-3.0,1,5.460402727127075
