episode,reward,length,elapsed_seconds
1,-3.0,1,0.034348249435424805
2,4.3,5,0.06625914573669434
3,-3.05,2,0.09406232833862305
4,-3.2,5,0.12218570709228516
5,-3.05,2,0.1509099006652832
6,-3.0,1,0.17460989952087402
7,-3.0,1,0.19697833061218262
8,4.75,2,0.22128081321716309
9,-3.05,2,0.24743127822875977
10,-3.15,4,0.2782459259033203
11,-3.1,3,0.30229640007019043
12,-3.3,7,0.335604190826416
13,-3.15,4,0.3661811351776123
14,-3.0,1,0.3907797336578369
15,4.75,2,0.42096495628356934
16,4.6000000000000005,3,0.44736194610595703
17,-3.15,4,0.47904491424560547
18,3.85,8,0.5096559524536133
19,-3.05,2,0.5343132019042969
20,-3.05,2,0.5579924583435059
21,-3.0,1,0.58121657371521
22,-3.0,1,0.6028461456298828
23,-3.05,2,0.6306731700897217
24,-3.2,5,0.6653921604156494
25,-3.4,9,0.6982312202453613
26,-3.2,5,0.7296457290649414
27,4.9,1,0.7515461444854736
28,-3.05,2,0.785602331161499
29,4.75,2,0.8142497539520264
30,-3.0,1,0.8428409099578857
31,-3.1,3,0.8702116012573242
32,-3.0,1,0.8950982093811035
33,4.6000000000000005,3,0.9266815185546875
34,-3.0,1,0.9589996337890625
35,-3.05,2,0.9874532222747803
36,-3.05,2,1.0142292976379395
37,-3.0,1,1.0387136936187744
38,-3.05,2,1.0665011405944824
39,4.449999999999999,4,1.1001760959625244
40,4.15,6,1.138195514678955
41,4.449999999999999,4,1.1676723957061768
42,-3.0,1,1.1892673969268799
43,-3.0,1,1.215771198272705
44,-3.0,1,1.2376344203948975
45,3.85,8,1.2802627086639404
46,4.75,2,1.314939022064209
47,-3.25,6,1.3484127521514893
48,-3.55,12,1.3982248306274414
49,-3.1,3,1.4260435104370117
50,-3.0,1,1.4510295391082764
51,-3.2,5,1.480592966079712
52,-3.1,3,1.5064027309417725
53,-3.15,4,1.5422356128692627
54,-3.05,2,1.5718438625335693
55,-3.0,1,1.6000006198883057
56,4.0,7,1.6333036422729492
57,-3.05,2,1.66097092628479
58,-3.0,1,1.6844804286956787
59,-3.35,8,1.7175123691558838
60,-3.1,3,1.7432434558868408
61,-3.05,2,1.7685282230377197
62,-3.0,1,1.7961552143096924
63,-3.0,1,1.8210949897766113
64,4.6000000000000005,3,1.8494622707366943
65,-3.25,6,1.882389783859253
66,-3.0,1,1.9067132472991943
67,-3.15,4,1.9340617656707764
68,-3.05,2,1.9566500186920166
69,-3.2,5,1.9873499870300293
70,4.15,6,2.0170769691467285
71,4.6000000000000005,3,2.0420448780059814
72,4.75,2,2.066603183746338
73,-3.5,11,2.1044814586639404
74,-3.1,3,2.1332340240478516
75,4.15,6,2.164402723312378
76,-3.0,1,2.1855452060699463
77,-3.0,1,2.2098584175109863
78,-3.0,1,2.2335352897644043
79,-3.1,3,2.260016918182373
80,4.449999999999999,4,2.2853317260742188
