#{"t_start": 1787938391.3195717, "env_id": "None"}
r,l,t
-3.1,3,0.038969
-3.05,2,0.071676
-3.0,1,0.092932
-3.05,2,0.119494
-3.15,4,0.146168
-3.0,1,0.17169
4.9,1,0.19753
-3.0,1,0.224678
-3.3,7,0.259685
-3.0,1,0.281232
-3.0,1,0.304935
4.45,4,0.334891
-3.0,1,0.359845
-3.05,2,0.386827
-3.35,8,0.424346
-3.3,7,0.453414
-3.05,2,0.478621
-3.05,2,0.50363
-3.1,3,0.526508
4.45,4,0.557322
-3.15,4,0.587063
-3.15,4,0.616606
4.45,4,0.642633
-3.0,1,0.663931
-3.1,3,0.698712
-3.15,4,0.727795
-3.1,3,0.759551
-3.2,5,0.796278
4.15,6,0.830879
4.75,2,0.856619
-3.1,3,0.883968
-3.05,2,0.907258
4.3,5,0.937677
-3.0,1,0.963034
-3.05,2,0.985995
-3.1,3,1.010482
-3.0,1,1.033522
3.4,11,1.077659
-3.15,4,1.106466
-3.45,10,1.150972
-3.05,2,1.173818
4.45,4,1.201913
-3.05,2,1.224057
-3.3,7,1.266409
-3.4,9,1.302339
-3.05,2,1.326113
4.6,3,1.356853
4.0,7,1.388876
-3.1,3,1.417552
4.45,4,1.444666
-3.1,3,1.470225
-3.05,2,1.49156
-3.0,1,1.515861
4.3,5,1.550464
-3.05,2,1.578097
4.45,4,1.609535
-3.0,1,1.633148
-3.1,3,1.662568
-3.0,1,1.689234
-3.05,2,1.722584
4.6,3,1.752718
-3.15,4,1.784815
-3.55,12,1.823153
-3.0,1,1.849859
-3.4,9,1.889033
-3.25,6,1.92986
-3.6,13,1.970891
-3.25,6,2.002161
-3.0,1,2.169362
4.45,4,2.198331
-3.1,3,2.225994
-3.3,7,2.257238
3.55,10,2.292688
3.25,12,2.332648
-3.6,13,2.372299
-3.05,2,2.391996
-3.0,1,2.414526
-3.15,4,2.449384
4.15,6,2.486221
-3.0,1,2.509915
4.75,2,2.53658
-3.1,3,2.557908
4.9,1,2.583288
-3.0,1,2.607236
3.7,9,2.641747
4.9,1,2.667037
-3.1,3,2.69202
-3.15,4,2.720702
-3.1,3,2.745838
-3.0,1,2.766394
-3.0,1,2.787548
-3.0,1,2.8098
-3.2,5,2.839368
-3.0,1,2.864449
-3.1,3,2.892112
-3.25,6,2.924734
-3.0,1,2.950504
-3.2,5,2.981344
-3.0,1,3.004732
4.6,3,3.036027
-3.05,2,3.060091
-3.0,1,3.089289
4.15,6,3.131841
-3.05,2,3.164999
-3.0,1,3.192703
-3.2,5,3.227734
-3.0,1,3.256729
-3.0,1,3.284993
-3.25,6,3.32038
-3.05,2,3.349647
-1.75,15,3.391628
-3.3,7,3.424505
4.0,7,3.457436
-3.05,2,3.483049
-3.05,2,3.506648
-3.1,3,3.530083
-3.15,4,3.555917
4.45,4,3.583249
-3.2,5,3.610938
-3.15,4,3.637446
-3.35,8,3.67966
-3.2,5,3.717291
-3.0,1,3.747778
-3.1,3,3.776216
-3.1,3,3.805788
4.75,2,3.831006
4.6,3,3.85719
4.75,2,3.882255
-3.35,8,3.922585
-3.15,4,3.9491
-3.5,11,3.985062
4.75,2,4.012753
-3.0,1,4.040412
-1.75,15,4.243412
-3.0,1,4.269126
-3.05,2,4.290488
-3.15,4,4.321869
-3.1,3,4.351965
-3.15,4,4.379725
4.45,4,4.409335
4.3,5,4.443539
-3.0,1,4.466544
4.0,7,4.505265
4.45,4,4.541212
3.55,10,4.586982
-3.0,1,4.613599
-3.0,1,4.638878
4.45,4,4.668028
-3.15,4,4.697782
4.6,3,4.727311
-3.05,2,4.755507
-3.0,1,4.780483
-3.0,1,4.803499
-3.3,7,4.840528
-3.0,1,4.866474
-3.15,4,4.892906
4.0,7,4.928564
4.6,3,4.958595
-3.0,1,4.99113
-3.0,1,5.021099
4.45,4,5.051041
-3.05,2,5.074929
-3.0,1,5.098376
3.55,10,5.13619
4.75,2,5.165881
3.55,10,5.206084
-3.1,3,5.236244
4.0,7,5.27174
-3.15,4,5.305826
4.75,2,5.331329
4.3,5,5.359386
4.45,4,5.389467
-3.05,2,5.413738
-3.05,2,5.43749
-3.0,1,5.464871
3.7,9,5.504452
-3.05,2,5.535312
4.3,5,5.573589
4.6,3,5.606472
-3.1,3,5.631828
-3.0,1,5.65559
-3.15,4,5.690835
-3.0,1,5.714319
-3.45,10,5.756484
-3.05,2,5.783684
-3.05,2,5.815237
-3.1,3,5.848092
-3.15,4,5.873664
-3.05,2,5.898102
-3.45,10,5.933893
-3.4,9,5.966614
-3.55,12,6.007851
4.0,7,6.050926
-3.0,1,6.075717
-3.0,1,6.10598
-3.15,4,6.137299
-3.15,4,6.168375
-3.0,1,6.191012
-3.4,9,6.41643
-3.05,2,6.443768
-3.1,3,6.477463
-3.1,3,6.507636
-3.05,2,6.545678
-3.2,5,6.581714
-3.1,3,6.611526
-3.0,1,6.638598
-3.05,2,6.668584
-3.15,4,6.697995
-3.15,4,6.728986
-1.75,15,6.781097
-3.0,1,6.804697
3.55,10,6.845301
-3.05,2,6.874584
-3.15,4,6.906777
-3.15,4,6.939044
4.15,6,6.976621
-3.5,11,7.015614
-3.5,11,7.053955
-3.4,9,7.087401
-3.45,10,7.122133
-3.1,3,7.147182
4.15,6,7.17653
-3.05,2,7.202385
