policy,episodes,success_rate,success_rate_ci_low,success_rate_ci_high,false_confirmation_rate,false_confirmation_rate_ci_low,false_confirmation_rate_ci_high,timeout_rate,timeout_rate_ci_low,timeout_rate_ci_high,mean_total_reward,mean_total_reward_ci_low,mean_total_reward_ci_high,mean_steps,mean_steps_ci_low,mean_steps_ci_high
random,1000,0.236,0.211,0.262,0.748,0.722,0.774,0.016,0.009,0.024,-1.34375,-1.5321225,-1.1461474999999999,3.945,3.744,4.1690499999999995
fixed_sweep,1000,0.895,0.875,0.914,0.0,0.0,0.0,0.105,0.087,0.125,3.6566499999999995,3.53109625,3.7749162500000004,6.104,5.848,6.363
ppo_seed_101,1000,0.954,0.941,0.967,0.008,0.003,0.014,0.038,0.027,0.05,3.98445,3.8985412499999996,4.07045875,5.571,5.366,5.771
ppo_seed_202,1000,0.944,0.93,0.958,0.02,0.012,0.029,0.036,0.025,0.048,3.90205,3.80259875,3.9976550000000004,5.621,5.42,5.823025
ppo_seed_303,1000,0.953,0.939,0.965,0.001,0.0,0.003,0.046,0.033,0.06,3.9943,3.9088987499999996,4.0788025,5.594,5.381,5.8020499999999995
