policy,scene_seed,success,false_confirmation,timeout,stopped,steps,total_reward,final_true_ratio,final_rgb_texture_ratio,final_height_ratio,actions
ppo_seed_202,4674426,1,0,0,1,4,4.449999999999999,0.1959,0.1873999983072281,0.19439999759197235,1-1-0-3
ppo_seed_202,8911285,0,1,0,1,6,-3.25,0.1187,0.1200999990105629,0.11749999970197678,0-0-0-0-1-3
ppo_seed_202,7143753,1,0,0,1,6,4.15,0.3885,0.1973000019788742,0.384799987077713,1-1-1-1-1-3
ppo_seed_202,5256665,1,0,0,1,2,4.75,0.2232,0.2092999964952469,0.22020000219345093,1-3
ppo_seed_202,3711990,1,0,0,1,3,4.6000000000000005,0.2299,0.20640000700950623,0.22789999842643738,0-0-3
ppo_seed_202,4470629,1,0,0,1,4,4.449999999999999,0.3053,0.2305999994277954,0.30219998955726624,0-0-0-3
ppo_seed_202,3094051,1,0,0,1,5,4.3,0.3902,0.2021999955177307,0.38580000400543213,0-1-1-0-3
ppo_seed_202,5097016,1,0,0,1,6,4.15,0.3509,0.21490000188350677,0.3472000062465668,0-0-0-0-0-3
ppo_seed_202,6864516,1,0,0,1,11,3.4,0.4453,0.15839999914169312,0.4408999979496002,1-1-1-1-1-1-0-1-1-1-3
ppo_seed_202,4089624,1,0,0,1,4,4.449999999999999,0.1649,0.16459999978542328,0.16339999437332153,0-0-1-3
ppo_seed_202,8089451,1,0,0,1,5,4.3,0.4547,0.14720000326633453,0.45170000195503235,0-0-0-1-3
ppo_seed_202,6776574,1,0,0,1,9,3.6999999999999997,0.2608,0.23190000653266907,0.25679999589920044,0-0-0-0-0-0-1-1-3
ppo_seed_202,7944065,1,0,0,1,5,4.3,0.2507,0.2232999950647354,0.2493000030517578,1-1-1-0-3
ppo_seed_202,4356395,1,0,0,1,3,4.6000000000000005,0.3872,0.2069000005722046,0.3831999897956848,0-0-3
ppo_seed_202,8897189,1,0,0,1,5,4.3,0.1942,0.18479999899864197,0.19210000336170197,0-0-0-0-3
ppo_seed_202,5422840,0,1,0,1,13,-3.6,0.1021,0.10750000178813934,0.1014999970793724,0-1-0-1-1-1-0-1-1-1-1-0-3
ppo_seed_202,5418697,1,0,0,1,3,4.6000000000000005,0.3368,0.22509999573230743,0.33390000462532043,0-0-3
ppo_seed_202,3595603,1,0,0,1,4,4.449999999999999,0.3949,0.2070000022649765,0.38999998569488525,0-1-1-3
ppo_seed_202,2114277,1,0,0,1,7,4.0,0.2094,0.1988999992609024,0.20810000598430634,0-0-1-0-1-1-3
ppo_seed_202,5339256,1,0,0,1,1,4.9,0.173,0.17100000381469727,0.17149999737739563,3
ppo_seed_202,4552643,1,0,0,1,5,4.3,0.2378,0.21850000321865082,0.23589999973773956,0-1-0-1-3
ppo_seed_202,7286097,1,0,0,1,8,3.85,0.3551,0.21449999511241913,0.3517000079154968,0-0-0-0-0-0-1-3
ppo_seed_202,5680314,1,0,0,1,3,4.6000000000000005,0.4673,0.1429000049829483,0.46140000224113464,0-0-3
ppo_seed_202,6187718,1,0,0,1,4,4.449999999999999,0.1721,0.1703999936580658,0.17030000686645508,0-0-0-3
ppo_seed_202,2523132,1,0,0,1,3,4.6000000000000005,0.3006,0.21410000324249268,0.2978000044822693,1-1-3
ppo_seed_202,6928580,0,0,1,0,15,-1.75,0.0,0.11349999904632568,0.0,0-0-0-0-0-0-1-1-1-0-1-1-1-0-1
ppo_seed_202,4269338,1,0,0,1,4,4.449999999999999,0.1503,0.15080000460147858,0.14900000393390656,0-1-1-3
ppo_seed_202,6409304,1,0,0,1,7,4.0,0.2238,0.20679999887943268,0.22169999778270721,1-1-1-1-1-1-3
ppo_seed_202,3561665,1,0,0,1,7,4.0,0.2585,0.2215999960899353,0.2556000053882599,0-0-1-1-1-0-3
ppo_seed_202,2111170,1,0,0,1,3,4.6000000000000005,0.2091,0.19900000095367432,0.2076999992132187,1-1-3
ppo_seed_202,7089534,1,0,0,1,1,4.9,0.1969,0.18930000066757202,0.19480000436306,3
ppo_seed_202,8605812,1,0,0,1,4,4.449999999999999,0.1907,0.1835000067949295,0.18940000236034393,0-0-0-3
ppo_seed_202,7309837,1,0,0,1,5,4.3,0.5496,0.08760000020265579,0.5447999835014343,1-1-1-1-3
ppo_seed_202,5060664,0,0,1,0,15,-1.75,0.0,0.12300000339746475,0.0,1-1-1-1-1-0-1-1-1-1-0-1-1-1-1
ppo_seed_202,2381890,1,0,0,1,5,4.3,0.2117,0.19670000672340393,0.2101999968290329,0-1-1-1-3
ppo_seed_202,7571151,1,0,0,1,11,3.4,0.249,0.21729999780654907,0.24660000205039978,0-0-1-0-1-1-1-0-1-1-3
ppo_seed_202,8839704,1,0,0,1,10,3.55,0.4825,0.12839999794960022,0.47760000824928284,0-0-0-0-1-0-1-1-1-3
ppo_seed_202,3598040,1,0,0,1,4,4.449999999999999,0.1562,0.15440000593662262,0.15479999780654907,1-1-0-3
ppo_seed_202,2400457,1,0,0,1,7,4.0,0.1853,0.17990000545978546,0.18379999697208405,0-0-0-0-0-1-3
ppo_seed_202,5844879,1,0,0,1,3,4.6000000000000005,0.1603,0.1599999964237213,0.15919999778270721,0-0-3
ppo_seed_202,8337651,0,1,0,1,10,-3.45,0.1137,0.11680000275373459,0.11219999939203262,0-0-0-0-0-0-0-1-1-3
ppo_seed_202,8252562,1,0,0,1,4,4.449999999999999,0.3584,0.21580000221729279,0.3553999960422516,0-1-1-3
ppo_seed_202,7949443,1,0,0,1,2,4.75,0.2382,0.21330000460147858,0.2361000031232834,1-3
ppo_seed_202,7512143,1,0,0,1,7,4.0,0.3999,0.19419999420642853,0.39649999141693115,0-0-0-0-0-0-3
ppo_seed_202,8602662,1,0,0,1,4,4.449999999999999,0.3371,0.22830000519752502,0.33390000462532043,0-1-0-3
ppo_seed_202,8009852,0,0,1,0,15,-1.75,0.0,0.11339999735355377,0.0,0-0-0-0-0-0-1-0-1-1-1-0-1-1-1
ppo_seed_202,5410578,1,0,0,1,4,4.449999999999999,0.3955,0.19189999997615814,0.3912000060081482,0-1-0-3
ppo_seed_202,2286453,1,0,0,1,8,3.85,0.4505,0.15960000455379486,0.44600000977516174,0-0-0-0-1-1-0-3
ppo_seed_202,2671236,1,0,0,1,1,4.9,0.3395,0.22759999334812164,0.3357999920845032,3
ppo_seed_202,7530834,1,0,0,1,8,3.85,0.3041,0.23190000653266907,0.30160000920295715,0-0-0-0-0-0-0-3
ppo_seed_202,6280440,1,0,0,1,6,4.15,0.1661,0.16380000114440918,0.16410000622272491,0-0-0-0-0-3
ppo_seed_202,3291588,1,0,0,1,2,4.75,0.2573,0.22280000150203705,0.25540000200271606,1-3
ppo_seed_202,7642202,1,0,0,1,10,3.55,0.2131,0.19329999387264252,0.210099995136261,0-0-0-0-0-1-1-0-1-3
ppo_seed_202,7633334,1,0,0,1,5,4.3,0.152,0.14990000426769257,0.1509000062942505,0-0-0-0-3
ppo_seed_202,2282705,1,0,0,1,2,4.75,0.18,0.17229999601840973,0.17820000648498535,0-3
ppo_seed_202,7681058,1,0,0,1,6,4.15,0.4398,0.164900004863739,0.43560001254081726,0-0-0-0-0-3
ppo_seed_202,7340637,1,0,0,1,5,4.3,0.3313,0.23240000009536743,0.32829999923706055,0-0-0-0-3
ppo_seed_202,7003141,1,0,0,1,3,4.6000000000000005,0.1603,0.16189999878406525,0.15850000083446503,0-0-3
ppo_seed_202,8859675,1,0,0,1,4,4.449999999999999,0.248,0.2168000042438507,0.24580000340938568,0-0-0-3
ppo_seed_202,6943454,1,0,0,1,2,4.75,0.2308,0.2046000063419342,0.22779999673366547,0-3
ppo_seed_202,5994526,1,0,0,1,9,3.6999999999999997,0.1559,0.15459999442100525,0.15449999272823334,1-1-1-1-1-0-1-1-3
ppo_seed_202,2163358,1,0,0,1,6,4.15,0.3303,0.2320999950170517,0.3269999921321869,0-0-0-1-1-3
ppo_seed_202,7689773,1,0,0,1,8,3.85,0.2655,0.22089999914169312,0.26330000162124634,0-0-1-1-0-1-1-3
ppo_seed_202,4305781,1,0,0,1,3,4.6000000000000005,0.3102,0.23199999332427979,0.3075999915599823,0-0-3
ppo_seed_202,7854070,1,0,0,1,5,4.3,0.2255,0.20569999516010284,0.22210000455379486,0-0-1-1-3
