#{"t_start": 1787939466.2566, "env_id": "None"}
r,l,t
-3.0,1,0.033095
-3.0,1,0.055214
-3.0,1,0.077441
-3.4,9,0.120011
-3.2,5,0.150522
2.95,14,0.195473
4.6,3,0.223863
-3.0,1,0.248154
-3.05,2,0.277363
4.45,4,0.305055
3.55,10,0.345661
-3.1,3,0.374557
-3.2,5,0.407352
-3.1,3,0.43514
-3.0,1,0.461093
-3.05,2,0.497455
-3.35,8,0.534364
-3.3,7,0.565382
-3.0,1,0.586842
-3.1,3,0.613653
-1.75,15,0.670427
4.75,2,0.696033
3.1,13,0.738789
-3.15,4,0.770006
4.3,5,0.797138
-3.4,9,0.833179
-3.0,1,0.859651
-3.15,4,0.897476
4.0,7,0.93729
-3.05,2,0.9668
4.6,3,0.993392
4.0,7,1.029298
-3.0,1,1.049871
-3.0,1,1.07517
-3.0,1,1.10023
-3.25,6,1.130538
-3.15,4,1.160672
-3.2,5,1.19551
-3.2,5,1.227703
-3.0,1,1.25334
-3.15,4,1.285107
4.15,6,1.316149
-3.05,2,1.344163
4.0,7,1.378241
2.95,14,1.424968
-3.4,9,1.459436
-3.2,5,1.488438
-3.05,2,1.513779
3.85,8,1.548631
-3.0,1,1.579417
-3.1,3,1.612771
-3.15,4,1.637853
-3.05,2,1.664246
-3.05,2,1.688297
-3.1,3,1.718776
4.15,6,1.91714
-3.0,1,1.942614
-3.2,5,1.97103
-3.15,4,1.997316
4.75,2,2.022642
-3.0,1,2.044927
3.25,12,2.085178
-3.35,8,2.12151
4.6,3,2.150412
4.75,2,2.174619
-3.3,7,2.205065
4.6,3,2.234723
-3.5,11,2.274985
4.9,1,2.300346
-3.4,9,2.341587
-3.05,2,2.364788
-3.1,3,2.390749
-3.15,4,2.418924
-3.0,1,2.447834
-3.45,10,2.486488
-3.0,1,2.515246
-3.0,1,2.541734
-3.05,2,2.567116
-3.05,2,2.595329
3.4,11,2.636788
4.6,3,2.665714
-3.1,3,2.694434
-3.35,8,2.732712
-3.4,9,2.775403
-3.1,3,2.801289
4.9,1,2.828258
-3.6,13,2.871515
4.45,4,2.901273
-3.25,6,2.939916
4.6,3,2.969814
-3.15,4,2.997055
-3.3,7,3.031893
-3.25,6,3.060677
4.75,2,3.083788
-3.05,2,3.110529
-1.75,15,3.165156
-3.15,4,3.195951
4.3,5,3.224264
-3.0,1,3.247389
4.0,7,3.278151
-3.15,4,3.304937
-3.05,2,3.329715
-3.35,8,3.364946
-3.45,10,3.410391
-3.0,1,3.444333
4.6,3,3.469879
-3.05,2,3.496701
-3.05,2,3.524249
-3.0,1,3.54799
-3.25,6,3.581156
-3.1,3,3.610383
-3.0,1,3.771278
4.6,3,3.797306
-3.35,8,3.831995
3.85,8,3.864956
-3.1,3,3.88831
-3.1,3,3.91457
-3.1,3,3.940534
-3.0,1,3.964846
4.6,3,3.99162
-3.15,4,4.01671
-3.1,3,4.042977
-1.75,15,4.088461
-3.05,2,4.115416
3.7,9,4.164263
-3.0,1,4.194472
-3.0,1,4.223391
-3.5,11,4.269349
-3.3,7,4.302972
-3.2,5,4.332123
-3.2,5,4.364617
-3.0,1,4.386748
-3.1,3,4.416353
4.6,3,4.447063
-3.35,8,4.486716
-3.3,7,4.520306
-3.25,6,4.552824
-3.05,2,4.580333
-3.0,1,4.60588
-3.05,2,4.63425
4.3,5,4.677563
-3.45,10,4.722373
-3.0,1,4.756974
-3.15,4,4.783167
-3.0,1,4.808549
-3.0,1,4.831908
3.7,9,4.868253
-3.05,2,4.894698
-3.1,3,4.917774
-3.05,2,4.942047
-3.0,1,4.972486
-3.25,6,5.002831
-3.0,1,5.025492
4.75,2,5.049908
-3.05,2,5.072215
-1.75,15,5.114401
-3.0,1,5.134963
-3.5,11,5.176667
-3.2,5,5.203199
-3.0,1,5.229335
-3.25,6,5.258937
-3.35,8,5.294922
-3.0,1,5.317889
-3.1,3,5.345474
-3.2,5,5.377281
4.75,2,5.404683
-3.4,9,5.441787
4.45,4,5.470295
-3.0,1,5.497582
-3.05,2,5.52194
-3.0,1,5.546619
-3.0,1,5.575773
4.6,3,5.775232
4.45,4,5.807589
4.45,4,5.836708
4.45,4,5.869782
4.9,1,5.898269
-3.05,2,5.926523
4.3,5,5.959711
-3.0,1,5.983726
4.6,3,6.011508
-3.05,2,6.035562
-3.0,1,6.05811
4.15,6,6.087379
-3.1,3,6.113953
4.45,4,6.143706
4.15,6,6.177197
4.45,4,6.213679
-3.0,1,6.238834
-3.4,9,6.276649
-3.05,2,6.302255
4.45,4,6.330103
-3.0,1,6.352549
-3.05,2,6.378474
-3.0,1,6.398346
-3.3,7,6.431937
-3.05,2,6.458878
-3.0,1,6.479912
-3.1,3,6.504788
-3.05,2,6.531288
-3.0,1,6.556062
-3.0,1,6.58013
4.6,3,6.616377
-3.1,3,6.646015
-3.0,1,6.672232
-3.05,2,6.70032
-3.05,2,6.727664
-3.0,1,6.750389
-3.3,7,6.781298
-3.0,1,6.804856
-3.15,4,6.835525
-3.05,2,6.862918
-3.15,4,6.887511
4.15,6,6.92294
-3.3,7,6.954165
-3.15,4,6.981682
-3.0,1,7.00254
-3.15,4,7.030706
4.75,2,7.062435
-3.0,1,7.082754
4.75,2,7.106485
-3.0,1,7.12986
4.45,4,7.15584
-3.05,2,7.177925
4.6,3,7.205454
-3.05,2,7.22904
-3.0,1,7.251165
4.45,4,7.285658
4.9,1,7.313346
3.4,11,7.353487
-3.0,1,7.37976
-3.15,4,7.406929
-3.05,2,7.434139
-3.0,1,7.461658
-3.05,2,7.485387
-3.0,1,7.508726
-1.75,15,7.554808
-3.0,1,7.580201
4.3,5,7.610805
3.7,9,7.646076
3.4,11,7.684228
-3.0,1,7.70579
-3.0,1,7.730466
-3.25,6,7.762421
4.45,4,7.789434
-3.05,2,7.815743
-3.1,3,7.844329
-3.05,2,7.868327
-1.75,15,8.065587
-3.2,5,8.091623
3.7,9,8.125973
-3.3,7,8.156775
4.15,6,8.184461
-3.15,4,8.209997
-3.05,2,8.232794
4.45,4,8.263647
-3.1,3,8.289261
-3.1,3,8.318251
-3.0,1,8.338318
4.45,4,8.367984
-3.15,4,8.396471
-3.0,1,8.420434
-3.1,3,8.450298
-3.0,1,8.472347
-3.05,2,8.494864
-3.25,6,8.521883
-3.65,14,8.564582
-3.3,7,8.596131
4.6,3,8.619693
4.75,2,8.64875
-3.15,4,8.679544
3.25,12,8.72465
-3.1,3,8.755343
-3.15,4,8.790489
-3.6,13,8.836099
-3.05,2,8.862952
3.55,10,8.911396
4.3,5,8.949354
-3.35,8,8.99226
-3.1,3,9.019148
-3.05,2,9.047745
4.45,4,9.081714
4.15,6,9.116359
-3.0,1,9.144434
-3.25,6,9.176558
-3.35,8,9.215016
4.45,4,9.243699
-3.05,2,9.272913
-3.05,2,9.303549
-3.1,3,9.332234
-3.05,2,9.357795
-3.05,2,9.380473
4.0,7,9.413548
4.45,4,9.439452
3.4,11,9.478595
-3.05,2,9.502193
-3.05,2,9.523939
-3.25,6,9.560526
-3.15,4,9.586668
-3.5,11,9.624885
-3.1,3,9.649914
-3.05,2,9.673833
-3.35,8,9.862217
-3.1,3,9.886398
4.75,2,9.912878
4.45,4,9.941251
-3.05,2,9.969876
-3.05,2,9.994439
4.15,6,10.024634
4.3,5,10.059985
-3.05,2,10.083274
3.1,13,10.122644
-3.05,2,10.148601
-3.1,3,10.173562
4.45,4,10.200532
4.45,4,10.227202
