episode,reward,length,elapsed_seconds
1,-3.0,1,0.03309488296508789
2,-3.0,1,0.05521392822265625
3,-3.0,1,0.07744050025939941
4,-3.4,9,0.1200110912322998
5,-3.2,5,0.15052223205566406
6,2.9499999999999997,14,0.19547271728515625
7,4.6000000000000005,3,0.2238631248474121
8,-3.0,1,0.2481541633605957
9,-3.05,2,0.27736330032348633
10,4.449999999999999,4,0.3050553798675537
11,3.55,10,0.3456611633300781
12,-3.1,3,0.3745572566986084
13,-3.2,5,0.4073524475097656
14,-3.1,3,0.43514037132263184
15,-3.0,1,0.4610929489135742
16,-3.05,2,0.4974546432495117
17,-3.35,8,0.5343642234802246
18,-3.3,7,0.5653824806213379
19,-3.0,1,0.5868415832519531
20,-3.1,3,0.6136531829833984
21,-1.75,15,0.670426607131958
22,4.75,2,0.6960325241088867
23,3.1,13,0.7387886047363281
24,-3.15,4,0.7700061798095703
25,4.3,5,0.7971377372741699
26,-3.4,9,0.833179235458374
27,-3.0,1,0.8596513271331787
28,-3.15,4,0.8974761962890625
29,4.0,7,0.9372901916503906
30,-3.05,2,0.9668002128601074
31,4.6000000000000005,3,0.9933915138244629
32,4.0,7,1.0292980670928955
33,-3.0,1,1.0498709678649902
34,-3.0,1,1.0751702785491943
35,-3.0,1,1.1002297401428223
36,-3.25,6,1.130537986755371
37,-3.15,4,1.1606721878051758
38,-3.2,5,1.1955103874206543
39,-3.2,5,1.2277030944824219
40,-3.0,1,1.2533397674560547
41,-3.15,4,1.285106897354126
42,4.15,6,1.3161489963531494
43,-3.05,2,1.3441627025604248
44,4.0,7,1.3782405853271484
45,2.9499999999999997,14,1.4249677658081055
46,-3.4,9,1.4594364166259766
47,-3.2,5,1.488438367843628
48,-3.05,2,1.5137789249420166
49,3.85,8,1.5486314296722412
50,-3.0,1,1.5794174671173096
51,-3.1,3,1.6127710342407227
52,-3.15,4,1.6378531455993652
53,-3.05,2,1.66424560546875
54,-3.05,2,1.6882965564727783
55,-3.1,3,1.718775987625122
56,4.15,6,1.9171397686004639
57,-3.0,1,1.9426140785217285
58,-3.2,5,1.9710297584533691
59,-3.15,4,1.9973158836364746
60,4.75,2,2.022642135620117
61,-3.0,1,2.044926881790161
62,3.25,12,2.0851776599884033
63,-3.35,8,2.1215102672576904
64,4.6000000000000005,3,2.15041184425354
65,4.75,2,2.174619436264038
66,-3.3,7,2.2050647735595703
67,4.6000000000000005,3,2.2347233295440674
68,-3.5,11,2.27498459815979
69,4.9,1,2.3003456592559814
70,-3.4,9,2.3415868282318115
71,-3.05,2,2.3647878170013428
72,-3.1,3,2.3907485008239746
73,-3.15,4,2.418924331665039
74,-3.0,1,2.44783353805542
75,-3.45,10,2.4864883422851562
76,-3.0,1,2.5152459144592285
77,-3.0,1,2.541733741760254
78,-3.05,2,2.5671157836914062
79,-3.05,2,2.5953290462493896
80,3.4,11,2.6367876529693604
81,4.6000000000000005,3,2.6657140254974365
82,-3.1,3,2.6944339275360107
83,-3.35,8,2.7327122688293457
84,-3.4,9,2.7754030227661133
85,-3.1,3,2.8012888431549072
86,4.9,1,2.8282582759857178
87,-3.6,13,2.8715150356292725
88,4.449999999999999,4,2.901273012161255
89,-3.25,6,2.9399161338806152
90,4.6000000000000005,3,2.969813823699951
91,-3.15,4,2.9970548152923584
92,-3.3,7,3.031893491744995
93,-3.25,6,3.0606770515441895
94,4.75,2,3.083787679672241
95,-3.05,2,3.1105287075042725
96,-1.75,15,3.165156364440918
97,-3.15,4,3.195951461791992
98,4.3,5,3.224264144897461
99,-3.0,1,3.2473888397216797
100,4.0,7,3.2781505584716797
101,-3.15,4,3.3049373626708984
102,-3.05,2,3.3297152519226074
103,-3.35,8,3.364946126937866
104,-3.45,10,3.410390853881836
105,-3.0,1,3.444333076477051
106,4.6000000000000005,3,3.469878911972046
107,-3.05,2,3.496701240539551
108,-3.05,2,3.5242488384246826
109,-3.0,1,3.547990322113037
110,-3.25,6,3.5811562538146973
111,-3.1,3,3.6103832721710205
112,-3.0,1,3.771277904510498
113,4.6000000000000005,3,3.7973060607910156
114,-3.35,8,3.8319947719573975
115,3.85,8,3.8649556636810303
116,-3.1,3,3.888310432434082
117,-3.1,3,3.914569854736328
118,-3.1,3,3.9405336380004883
119,-3.0,1,3.964846134185791
120,4.6000000000000005,3,3.99161958694458
121,-3.15,4,4.01671028137207
122,-3.1,3,4.042977333068848
123,-1.75,15,4.088460922241211
124,-3.05,2,4.115415811538696
125,3.6999999999999997,9,4.164262771606445
126,-3.0,1,4.194472074508667
127,-3.0,1,4.22339129447937
128,-3.5,11,4.269348621368408
129,-3.3,7,4.302972078323364
130,-3.2,5,4.332123279571533
131,-3.2,5,4.364616632461548
132,-3.0,1,4.386747598648071
133,-3.1,3,4.416353225708008
134,4.6000000000000005,3,4.447063446044922
135,-3.35,8,4.48671555519104
136,-3.3,7,4.52030611038208
137,-3.25,6,4.552823781967163
138,-3.05,2,4.580332517623901
139,-3.0,1,4.605880498886108
140,-3.05,2,4.6342504024505615
141,4.3,5,4.677562713623047
142,-3.45,10,4.7223732471466064
143,-3.0,1,4.756973505020142
144,-3.15,4,4.783166885375977
145,-3.0,1,4.808549165725708
146,-3.0,1,4.8319079875946045
147,3.6999999999999997,9,4.868252515792847
148,-3.05,2,4.89469838142395
149,-3.1,3,4.917774438858032
150,-3.05,2,4.942047119140625
151,-3.0,1,4.972485542297363
152,-3.25,6,5.002830743789673
153,-3.0,1,5.025491952896118
154,4.75,2,5.049907684326172
155,-3.05,2,5.072214603424072
156,-1.75,15,5.11440110206604
157,-3.0,1,5.134962558746338
158,-3.5,11,5.176666736602783
159,-3.2,5,5.20319938659668
160,-3.0,1,5.229335308074951
161,-3.25,6,5.258936882019043
162,-3.35,8,5.294922113418579
163,-3.0,1,5.317889451980591
164,-3.1,3,5.345474004745483
165,-3.2,5,5.377281188964844
166,4.75,2,5.404682874679565
167,-3.4,9,5.441787481307983
168,4.449999999999999,4,5.470295190811157
169,-3.0,1,5.497581958770752
170,-3.05,2,5.521940469741821
171,-3.0,1,5.546618938446045
172,-3.0,1,5.575772762298584
173,4.6000000000000005,3,5.775232315063477
174,4.449999999999999,4,5.807589054107666
175,4.449999999999999,4,5.836707830429077
176,4.449999999999999,4,5.869782447814941
177,4.9,1,5.898269414901733
178,-3.05,2,5.926522731781006
179,4.3,5,5.9597108364105225
180,-3.0,1,5.983725547790527
181,4.6000000000000005,3,6.011508226394653
182,-3.05,2,6.035561800003052
183,-3.0,1,6.058109521865845
184,4.15,6,6.087378740310669
185,-3.1,3,6.113953113555908
186,4.449999999999999,4,6.143706321716309
187,4.15,6,6.177196741104126
188,4.449999999999999,4,6.213679313659668
189,-3.0,1,6.238833904266357
190,-3.4,9,6.276648759841919
191,-3.05,2,6.302255153656006
192,4.449999999999999,4,6.330103158950806
193,-3.0,1,6.352549314498901
194,-3.05,2,6.378474473953247
195,-3.0,1,6.398346424102783
196,-3.3,7,6.431936740875244
197,-3.05,2,6.458877801895142
198,-3.0,1,6.479912281036377
199,-3.1,3,6.504788398742676
200,-3.05,2,6.531287670135498
201,-3.0,1,6.5560622215271
202,-3.0,1,6.580129861831665
203,4.6000000000000005,3,6.616377353668213
204,-3.1,3,6.646015405654907
205,-3.0,1,6.672231912612915
206,-3.05,2,6.700320482254028
207,-3.05,2,6.727664470672607
208,-3.0,1,6.750388860702515
209,-3.3,7,6.781298398971558
210,-3.0,1,6.804855823516846
211,-3.15,4,6.835524559020996
212,-3.05,2,6.862917900085449
213,-3.15,4,6.8875110149383545
214,4.15,6,6.922939777374268
215,-3.3,7,6.954164981842041
216,-3.15,4,6.9828736782073975
217,-3.0,1,7.002539873123169
218,-3.15,4,7.03070592880249
219,4.75,2,7.062435150146484
220,-3.0,1,7.082753658294678
221,4.75,2,7.106485366821289
222,-3.0,1,7.129860162734985
223,4.449999999999999,4,7.155840158462524
224,-3.05,2,7.177925109863281
225,4.6000000000000005,3,7.205453872680664
226,-3.05,2,7.229040145874023
227,-3.0,1,7.251165151596069
228,4.449999999999999,4,7.285658121109009
229,4.9,1,7.3133461475372314
230,3.4,11,7.353487491607666
