#{"t_start": 1787938818.3861692, "env_id": "None"}
r,l,t
-3.5,11,0.049303
4.45,4,0.076717
4.6,3,0.10395
4.3,5,0.136214
-3.1,3,0.159122
-3.45,10,0.200165
-3.45,10,0.235875
-3.0,1,0.258252
-3.2,5,0.28716
-3.15,4,0.312015
4.6,3,0.337937
-1.75,15,0.382339
-3.0,1,0.405577
-3.0,1,0.433993
-3.15,4,0.459994
-3.15,4,0.488923
-3.0,1,0.517015
-3.0,1,0.541084
-3.0,1,0.563564
-3.0,1,0.585646
-3.05,2,0.610919
-3.0,1,0.63499
3.1,13,0.672573
-3.0,1,0.697441
-3.05,2,0.721218
-3.0,1,0.7437
-3.0,1,0.768389
3.4,11,0.803323
-3.15,4,0.833179
-3.15,4,0.865484
-3.0,1,0.89016
-3.15,4,0.918568
-3.05,2,0.94379
-3.0,1,0.968286
4.6,3,0.994534
4.0,7,1.031014
-3.0,1,1.056523
-3.1,3,1.086184
-3.05,2,1.109921
-3.05,2,1.136355
-3.0,1,1.164246
-3.05,2,1.190008
-3.6,13,1.233399
4.6,3,1.25868
4.3,5,1.288846
-3.35,8,1.325717
4.6,3,1.355164
-3.0,1,1.381109
-3.0,1,1.406509
-3.0,1,1.431153
-3.05,2,1.456669
-3.0,1,1.478252
-3.0,1,1.503726
-3.0,1,1.5318
4.75,2,1.558545
-3.1,3,1.58831
-3.1,3,1.617848
-3.15,4,1.647258
-3.15,4,1.677066
-3.0,1,1.70357
-3.25,6,1.732772
-3.05,2,1.754725
4.75,2,1.77526
-3.0,1,1.797891
-3.0,1,1.819768
-3.05,2,1.850126
-3.0,1,1.874352
4.15,6,1.90427
-3.05,2,1.927971
-3.0,1,1.949352
-3.05,2,1.974515
-3.0,1,1.997075
3.85,8,2.032388
-3.0,1,2.054553
-3.4,9,2.232752
-3.0,1,2.255444
-3.35,8,2.292199
-3.15,4,2.319452
-3.3,7,2.352171
-1.75,15,2.399658
-3.1,3,2.424928
-3.0,1,2.44592
-3.1,3,2.4758
-3.2,5,2.508008
-3.25,6,2.538907
-3.1,3,2.563931
-3.7,15,2.615586
-3.0,1,2.638887
-3.0,1,2.659542
4.3,5,2.692139
-3.1,3,2.723576
-3.6,13,2.775104
-3.1,3,2.805892
3.4,11,2.852972
-3.0,1,2.877101
-3.45,10,2.918833
-3.0,1,2.942835
-3.0,1,2.972769
-3.15,4,3.005187
3.7,9,3.03881
-3.0,1,3.059917
3.85,8,3.093252
-3.05,2,3.116163
-3.05,2,3.145113
-3.05,2,3.173306
-3.25,6,3.207401
-3.35,8,3.242409
-3.3,7,3.273019
-3.1,3,3.302519
-3.15,4,3.329569
4.6,3,3.358415
4.3,5,3.388229
-3.0,1,3.415171
-3.35,8,3.452014
-3.0,1,3.475667
-3.1,3,3.504227
-3.35,8,3.534318
4.3,5,3.564027
-3.1,3,3.589713
-3.1,3,3.61308
-3.0,1,3.634741
-3.0,1,3.655885
-3.0,1,3.679574
-3.0,1,3.700769
-3.65,14,3.742147
-3.2,5,3.770246
4.75,2,3.793395
3.55,10,3.835509
-3.35,8,4.025057
-3.35,8,4.068984
4.6,3,4.094414
-3.15,4,4.127298
-3.05,2,4.152149
-3.4,9,4.195474
-3.65,14,4.24534
-3.0,1,4.269156
-3.1,3,4.30017
4.75,2,4.331053
-3.45,10,4.376241
-3.7,15,4.428547
-3.4,9,4.470664
-3.15,4,4.498705
-3.45,10,4.536813
