#{"t_start": 1787938173.2446232, "env_id": "None"}
r,l,t
-3.0,1,0.043414
-3.0,1,0.070996
-3.0,1,0.097629
-3.4,9,0.138391
-3.2,5,0.176415
2.95,14,0.230385
4.6,3,0.261186
-3.0,1,0.290415
-3.05,2,0.319636
4.45,4,0.354442
3.55,10,0.406232
-3.1,3,0.440178
-3.2,5,0.4781
-3.1,3,0.515993
-3.0,1,0.547248
-3.05,2,0.583319
-3.35,8,0.620605
-3.3,7,0.656252
-3.0,1,0.683656
-3.1,3,0.712785
-1.75,15,0.769963
4.75,2,0.798675
3.1,13,0.850492
-3.15,4,0.88241
4.3,5,0.915881
-3.4,9,0.953249
-3.0,1,0.976059
-3.15,4,1.004451
4.0,7,1.040748
-3.05,2,1.064805
4.6,3,1.088955
4.0,7,1.128974
-3.0,1,1.15073
-3.0,1,1.171247
-3.0,1,1.195936
-3.25,6,1.225009
-3.15,4,1.252427
-3.2,5,1.284494
-3.2,5,1.318841
-3.0,1,1.346464
-3.15,4,1.380671
4.15,6,1.410592
-3.05,2,1.436675
4.0,7,1.471809
2.95,14,1.519741
-3.4,9,1.559265
-3.2,5,1.590504
-3.05,2,1.616085
3.85,8,1.649894
-3.0,1,1.672479
-3.1,3,1.700172
-3.15,4,1.729791
-3.05,2,1.753877
-3.05,2,1.780298
-3.1,3,1.803863
4.15,6,1.987283
-3.0,1,2.00734
-3.2,5,2.037148
-3.15,4,2.0654
4.75,2,2.090678
-3.0,1,2.110749
3.25,12,2.152
-3.35,8,2.185089
4.6,3,2.215327
4.75,2,2.241387
-3.3,7,2.275916
4.6,3,2.307284
-3.5,11,2.349216
4.9,1,2.371855
-3.4,9,2.410601
-3.05,2,2.434951
-3.1,3,2.461246
-3.15,4,2.490679
-3.0,1,2.515447
-3.45,10,2.551715
-3.0,1,2.578209
-3.0,1,2.600517
-3.05,2,2.632177
-3.05,2,2.657666
3.4,11,2.699801
4.6,3,2.726465
-3.1,3,2.752113
-3.35,8,2.78486
-3.4,9,2.820258
-3.1,3,2.845922
4.9,1,2.869075
-3.6,13,2.91072
4.45,4,2.938121
-3.25,6,2.970141
4.6,3,2.995317
-3.15,4,3.022784
-3.3,7,3.056077
-3.25,6,3.085071
4.75,2,3.113709
-3.05,2,3.14487
-1.75,15,3.195735
-3.15,4,3.222278
4.3,5,3.251094
-3.0,1,3.278105
4.0,7,3.311902
-3.15,4,3.343336
-3.05,2,3.367433
-3.35,8,3.404417
-3.45,10,3.445148
-3.0,1,3.467709
4.6,3,3.49763
-3.05,2,3.52907
-3.05,2,3.557554
-3.0,1,3.58219
-3.25,6,3.620905
-3.1,3,3.653685
-3.0,1,3.875125
4.6,3,3.901155
-3.35,8,3.940072
3.85,8,3.979305
-3.1,3,4.005923
-3.1,3,4.034573
-3.1,3,4.061271
-3.0,1,4.091254
4.6,3,4.118769
-3.15,4,4.145264
-3.1,3,4.169628
-1.75,15,4.222661
-3.05,2,4.251399
3.7,9,4.288775
-3.0,1,4.312541
-3.0,1,4.334997
-3.5,11,4.371707
-3.3,7,4.402059
-3.2,5,4.430739
-3.2,5,4.455973
-3.0,1,4.479049
-3.1,3,4.506034
4.6,3,4.533164
-3.35,8,4.566423
-3.3,7,4.595293
-3.25,6,4.624606
-3.05,2,4.651539
-3.0,1,4.677552
-3.05,2,4.703749
4.3,5,4.738452
-3.45,10,4.772233
-3.0,1,4.79766
-3.15,4,4.822367
-3.0,1,4.846716
-3.0,1,4.868624
3.7,9,4.901628
-3.05,2,4.933099
-3.1,3,4.95807
-3.05,2,4.984822
-3.0,1,5.013473
-3.25,6,5.043139
-3.0,1,5.064974
4.75,2,5.090496
-3.05,2,5.114558
-1.75,15,5.162715
-3.0,1,5.188961
-3.5,11,5.23224
-3.2,5,5.261851
-3.0,1,5.288934
-3.25,6,5.325772
-3.35,8,5.361714
