#{"t_start": 1787939042.1222832, "env_id": "None"}
r,l,t
-3.1,3,0.037095
-3.05,2,0.06073
-3.0,1,0.087785
-3.05,2,0.110392
-3.15,4,0.135899
-3.0,1,0.159199
4.9,1,0.189082
-3.0,1,0.21503
-3.3,7,0.249146
-3.0,1,0.277308
-3.0,1,0.305228
4.45,4,0.335474
-3.0,1,0.359669
-3.05,2,0.383578
-3.35,8,0.417081
-3.3,7,0.450643
-3.05,2,0.480606
-3.05,2,0.504491
-3.1,3,0.531248
4.45,4,0.561397
-3.15,4,0.593309
-3.15,4,0.62155
4.45,4,0.652138
-3.0,1,0.681281
-3.1,3,0.712095
-3.15,4,0.74388
-3.1,3,0.771489
-3.2,5,0.804231
4.15,6,0.836484
4.75,2,0.861317
-3.1,3,0.887792
-3.05,2,0.91463
4.3,5,0.948467
-3.0,1,0.976053
-3.05,2,1.005554
-3.1,3,1.035806
-3.0,1,1.057048
3.4,11,1.104552
-3.15,4,1.137536
-3.45,10,1.176012
-3.05,2,1.197673
4.45,4,1.222755
-3.05,2,1.247981
-3.3,7,1.294993
-3.4,9,1.340561
-3.05,2,1.373558
4.6,3,1.401263
4.0,7,1.43281
-3.1,3,1.460928
4.45,4,1.488024
-3.1,3,1.517709
-3.05,2,1.546534
-3.0,1,1.574766
4.3,5,1.603918
-3.05,2,1.628959
4.45,4,1.655947
-3.0,1,1.678038
-3.1,3,1.705685
-3.0,1,1.729546
-3.05,2,1.754118
4.6,3,1.778945
-3.15,4,1.806649
-3.55,12,1.847965
-3.0,1,1.873332
-3.4,9,1.908468
-3.25,6,1.941228
-3.6,13,1.98448
-3.25,6,2.01423
-3.0,1,2.180751
4.45,4,2.212435
-3.1,3,2.237559
-3.3,7,2.268811
3.55,10,2.309609
3.25,12,2.361755
-3.6,13,2.40966
-3.05,2,2.433412
-3.0,1,2.460948
-3.15,4,2.489066
4.15,6,2.524404
-3.0,1,2.55302
4.75,2,2.583969
-3.1,3,2.612714
-3.5,11,2.659563
-3.0,1,2.682823
-3.1,3,2.718059
-3.15,4,2.743936
-3.1,3,2.769508
-3.0,1,2.792404
-3.0,1,2.813904
-3.0,1,2.83571
-3.2,5,2.865159
-3.0,1,2.887017
-3.1,3,2.912225
-3.25,6,2.942126
-3.0,1,2.965676
-3.2,5,3.003527
-3.0,1,3.029835
-3.2,5,3.061721
-3.0,1,3.083054
4.15,6,3.115875
-3.05,2,3.14176
-3.0,1,3.166459
-3.2,5,3.196021
-3.0,1,3.222764
-3.0,1,3.245217
-3.25,6,3.279692
-3.05,2,3.308074
-1.75,15,3.361532
-3.3,7,3.391217
4.0,7,3.431139
-3.05,2,3.4534
-3.05,2,3.478901
4.6,3,3.506928
4.45,4,3.539632
-3.15,4,3.572406
-3.2,5,3.605319
-3.15,4,3.633132
-3.2,5,3.666569
-3.1,3,3.697183
-3.2,5,3.730668
-3.15,4,3.764326
-3.1,3,3.791253
-3.05,2,3.820543
-3.1,3,3.85133
-3.05,2,3.876143
-3.35,8,3.914167
4.45,4,3.95182
3.4,11,4.000332
-3.05,2,4.032073
-3.0,1,4.058909
-1.75,15,4.284769
-3.0,1,4.315549
-3.05,2,4.34495
-3.15,4,4.375789
4.6,3,4.407875
