#{"t_start": 1787939678.8096476, "env_id": "None"}
r,l,t
-3.0,1,0.043722
-3.0,1,0.067098
-3.0,1,0.089086
-3.05,2,0.114294
4.75,2,0.140028
4.6,3,0.167701
-3.15,4,0.19615
4.9,1,0.221592
-3.05,2,0.24548
3.85,8,0.282241
4.45,4,0.310395
-3.25,6,0.344768
-3.1,3,0.368713
4.75,2,0.395554
-3.05,2,0.422687
-3.0,1,0.445618
-3.0,1,0.464909
-3.15,4,0.491164
-3.0,1,0.514014
-3.0,1,0.534611
-3.15,4,0.5645
-3.35,8,0.598579
4.75,2,0.624878
-3.0,1,0.647568
4.3,5,0.68128
4.45,4,0.711575
-3.0,1,0.739305
3.25,12,0.779374
4.0,7,0.812363
-3.0,1,0.83917
-3.0,1,0.8631
-3.4,9,0.897203
-3.3,7,0.937635
-3.2,5,0.966367
-3.1,3,0.994431
4.45,4,1.019519
-3.45,10,1.059739
3.25,12,1.108277
-3.25,6,1.139594
3.85,8,1.180006
-3.0,1,1.202938
-3.15,4,1.233139
-3.1,3,1.257409
4.75,2,1.285195
-3.0,1,1.310105
-3.05,2,1.34089
4.45,4,1.367419
-3.1,3,1.394418
-3.0,1,1.417309
-3.0,1,1.447699
-3.5,11,1.489846
-3.15,4,1.525314
4.9,1,1.548171
-3.25,6,1.581757
4.0,7,1.615234
4.45,4,1.643776
-3.0,1,1.664954
4.6,3,1.696385
-1.75,15,1.739804
4.75,2,1.764378
-3.45,10,1.800538
-3.35,8,1.838556
4.15,6,2.008722
-3.15,4,2.032788
-1.75,15,2.076783
-3.05,2,2.102298
3.85,8,2.141232
4.6,3,2.173514
-3.1,3,2.203706
4.3,5,2.234365
4.6,3,2.26612
-3.0,1,2.292861
4.15,6,2.325418
-3.55,12,2.367213
-3.15,4,2.397763
-3.25,6,2.427466
-3.0,1,2.447605
-3.3,7,2.48136
-3.1,3,2.506835
-3.1,3,2.531145
-3.05,2,2.556364
3.25,12,2.593968
4.6,3,2.621919
-3.0,1,2.64783
-3.1,3,2.679189
4.3,5,2.71035
-3.1,3,2.737226
-3.0,1,2.763919
4.6,3,2.797086
-3.05,2,2.825327
4.45,4,2.858748
-3.0,1,2.88243
-3.05,2,2.91147
-3.05,2,2.93874
3.85,8,2.973347
-3.05,2,2.997135
3.7,9,3.032122
-3.0,1,3.058438
4.6,3,3.085849
-3.05,2,3.108411
-3.35,8,3.1403
3.85,8,3.174298
-3.05,2,3.197915
-3.15,4,3.227891
-3.1,3,3.255925
-3.1,3,3.280826
-3.65,14,3.326795
4.0,7,3.358588
-3.4,9,3.390354
-3.0,1,3.412953
4.75,2,3.438031
-3.15,4,3.463729
-3.1,3,3.490241
4.3,5,3.525262
4.6,3,3.548307
4.0,7,3.58122
-3.0,1,3.609839
4.45,4,3.641722
-3.05,2,3.6675
-3.0,1,3.689188
-3.15,4,3.71994
-3.0,1,3.742971
-3.1,3,3.912382
4.75,2,3.940127
-3.0,1,3.963824
-3.0,1,3.98501
4.45,4,4.01568
-3.35,8,4.056955
-3.1,3,4.088395
4.6,3,4.118175
-3.25,6,4.154442
-3.25,6,4.193625
4.9,1,4.222208
-3.1,3,4.256138
4.0,7,4.290585
-3.05,2,4.322316
-3.0,1,4.347636
-3.05,2,4.378338
4.15,6,4.412315
4.75,2,4.439124
-3.15,4,4.46936
-3.05,2,4.496837
-3.0,1,4.526245
4.75,2,4.561183
-3.2,5,4.598734
-3.0,1,4.623007
-3.4,9,4.657592
-3.15,4,4.684517
-3.15,4,4.71581
4.6,3,4.745806
4.3,5,4.777611
4.6,3,4.807948
-3.0,1,4.83396
3.85,8,4.868808
-3.05,2,4.894577
3.7,9,4.93013
3.1,13,4.973227
-3.4,9,5.012871
-3.1,3,5.041865
4.3,5,5.072109
-3.35,8,5.111989
4.9,1,5.136028
-3.05,2,5.160269
-1.75,15,5.213372
-3.0,1,5.237139
-3.5,11,5.271832
4.3,5,5.297899
-3.05,2,5.322625
-3.25,6,5.356988
-3.1,3,5.384766
-3.05,2,5.411148
-3.0,1,5.438804
-3.1,3,5.465388
-3.0,1,5.489612
4.45,4,5.516045
-3.0,1,5.536675
-3.15,4,5.564878
-3.25,6,5.596402
-3.2,5,5.623735
-3.05,2,5.647401
4.6,3,5.679971
-3.05,2,5.704766
-3.05,2,5.7307
-3.3,7,5.763108
4.0,7,5.958379
-3.4,9,5.996593
4.45,4,6.025199
-3.5,11,6.066149
-3.25,6,6.102675
-3.15,4,6.130757
-3.0,1,6.158648
-3.55,12,6.199294
-3.15,4,6.227468
-3.15,4,6.256207
-3.0,1,6.278304
4.3,5,6.302006
4.15,6,6.33329
-3.3,7,6.362928
4.45,4,6.399758
4.3,5,6.429085
4.15,6,6.456822
3.7,9,6.490603
4.6,3,6.515264
-3.35,8,6.547173
-3.05,2,6.572434
-3.05,2,6.600631
-3.1,3,6.627049
-3.0,1,6.649657
-3.0,1,6.674096
-3.35,8,6.704819
-3.3,7,6.736893
-3.25,6,6.765885
-3.25,6,6.800261
-3.25,6,6.833813
-3.3,7,6.865285
-3.35,8,6.909429
-3.1,3,6.945937
4.6,3,6.97852
-3.0,1,7.003826
-3.25,6,7.035606
4.15,6,7.067826
-3.15,4,7.098951
4.0,7,7.135368
4.6,3,7.162302
-3.2,5,7.196282
4.45,4,7.226232
-3.0,1,7.254411
-3.45,10,7.300042
-3.25,6,7.343327
4.9,1,7.371555
-3.3,7,7.40907
-3.0,1,7.438717
4.75,2,7.463588
-3.1,3,7.489147
-3.0,1,7.513803
-3.15,4,7.544882
-3.2,5,7.583074
-3.15,4,7.613194
-3.05,2,7.643881
-3.1,3,7.826116
