comparison,left,right,training_seed_count,shared_scene_count,bootstrap_resamples,mean_paired_difference,difference_percentage_points,ci_low,ci_high,ci_low_percentage_points,ci_high_percentage_points
combined_minus_fixed_sweep,combined,fixed_sweep,10,1000,5000,0.046599999999999975,4.6599999999999975,0.025097500000000012,0.06820000000000004,2.5097500000000013,6.820000000000004
rgb_only_minus_fixed_sweep,rgb_only,fixed_sweep,10,1000,5000,0.05369999999999997,5.369999999999997,0.03239749999999999,0.07530000000000003,3.239749999999999,7.530000000000003
height_only_minus_fixed_sweep,height_only,fixed_sweep,10,1000,5000,0.041100000000000025,4.110000000000003,0.019000000000000017,0.06340249999999997,1.9000000000000017,6.3402499999999975
combined_minus_rgb_only,combined,rgb_only,10,1000,5000,-0.007099999999999995,-0.7099999999999995,-0.016800000000000037,0.0026999999999999273,-1.6800000000000037,0.26999999999999275
combined_minus_height_only,combined,height_only,10,1000,5000,0.005499999999999949,0.5499999999999949,-0.011102499999999998,0.02290000000000003,-1.1102499999999997,2.290000000000003
height_only_minus_rgb_only,height_only,rgb_only,10,1000,5000,-0.012599999999999945,-1.2599999999999945,-0.027100000000000013,0.003599999999999939,-2.7100000000000013,0.35999999999999394
