observation_mode,training_seed_count,success_rate_mean,success_rate_sample_sd,success_rate_min,success_rate_max,success_rate_t_ci_low,success_rate_t_ci_high,false_confirmation_rate_mean,false_confirmation_rate_sample_sd,false_confirmation_rate_min,false_confirmation_rate_max,false_confirmation_rate_t_ci_low,false_confirmation_rate_t_ci_high,timeout_rate_mean,timeout_rate_sample_sd,timeout_rate_min,timeout_rate_max,timeout_rate_t_ci_low,timeout_rate_t_ci_high,mean_total_reward_mean,mean_total_reward_sample_sd,mean_total_reward_min,mean_total_reward_max,mean_total_reward_t_ci_low,mean_total_reward_t_ci_high,mean_steps_mean,mean_steps_sample_sd,mean_steps_min,mean_steps_max,mean_steps_t_ci_low,mean_steps_t_ci_high
combined,10,0.9416,0.018416176464064262,0.9,0.962,0.9284258609848572,0.9547741390151427,0.010100000000000001,0.010805862606320084,0.0,0.034,0.0023699515595987635,0.017830048440401237,0.048299999999999996,0.01251709941551068,0.036,0.073,0.039345806490393063,0.05725419350960693,3.9118299999999997,0.10681025803836566,3.6663999999999994,4.0224,3.835422544283746,3.9882374557162534,5.6411,0.06320416652932521,5.566,5.732,5.595886462987127,5.686313537012873
rgb_only,10,0.9486999999999999,0.015492291990248258,0.912,0.961,0.9376174819354618,0.959782518064538,0.039900000000000005,0.028598562512437187,0.0,0.088,0.0194418208058943,0.06035817919410571,0.011400000000000002,0.01841014213235013,0.0,0.041,-0.0017698223142781633,0.024569822314278168,3.878855,0.12985149306034202,3.6013999999999995,4.02095,3.7859648376886827,3.9717451623113176,5.6709,0.14386757027828667,5.448,5.949,5.567983340056207,5.773816659943792
height_only,10,0.9360999999999999,0.016562675575589263,0.9,0.953,0.9242517756456505,0.9479482243543493,0.019700000000000002,0.026221492456888616,0.0,0.085,0.0009422742861070407,0.038457725713892964,0.044199999999999996,0.013958669150189229,0.015,0.066,0.03421456962525246,0.05418543037474753,3.86536,0.12884737051600575,3.55175,3.9954,3.773188143685214,3.9575318563147857,5.6262,0.11640523088666506,5.462,5.839,5.542928714194114,5.709471285805885
