#{"t_start": 1787939249.2124856, "env_id": "None"}
r,l,t
-3.15,4,0.039987
-3.05,2,0.063352
4.75,2,0.087934
-3.0,1,0.112926
-3.05,2,0.145241
-3.0,1,0.176693
-3.2,5,0.204594
-3.0,1,0.228017
-3.05,2,0.255139
4.45,4,0.281475
-3.4,9,0.314212
-3.15,4,0.342825
3.55,10,0.381372
4.9,1,0.410583
-3.0,1,0.435755
-3.0,1,0.459753
-3.0,1,0.484656
-3.05,2,0.509384
-3.05,2,0.533455
-3.05,2,0.558884
-3.05,2,0.581406
-1.75,15,0.62491
3.7,9,0.666547
-3.05,2,0.691995
-3.35,8,0.726319
-3.1,3,0.756622
-3.55,12,0.796861
4.45,4,0.826481
-3.1,3,0.857204
-3.25,6,0.889192
-3.0,1,0.911176
4.45,4,0.939687
-3.0,1,0.964463
4.6,3,0.991517
-3.0,1,1.017014
-3.0,1,1.042032
-3.05,2,1.069299
-3.0,1,1.090774
-3.05,2,1.122795
-3.1,3,1.15245
-3.1,3,1.180075
-3.0,1,1.209191
-3.1,3,1.235422
-3.0,1,1.261694
4.3,5,1.297718
-3.1,3,1.32657
-3.6,13,1.373791
4.9,1,1.40009
-3.05,2,1.429638
-3.05,2,1.457823
4.6,3,1.480933
-3.05,2,1.503946
-3.1,3,1.528364
-3.05,2,1.552198
-3.15,4,1.579952
-3.0,1,1.610222
-3.05,2,1.63714
-3.2,5,1.665673
3.7,9,1.706293
-3.0,1,1.731899
-3.0,1,1.759538
-3.0,1,1.782109
-3.0,1,1.811576
-3.0,1,1.835693
-3.7,15,1.886015
-3.0,1,1.909643
-3.2,5,1.937774
-3.0,1,1.960019
-3.05,2,1.984452
4.75,2,2.010366
-3.0,1,2.031739
-3.05,2,2.057067
-3.0,1,2.082033
-3.0,1,2.102677
-3.0,1,2.127616
4.9,1,2.152149
4.0,7,2.183401
-3.1,3,2.210788
-3.0,1,2.237938
-3.0,1,2.261621
-3.1,3,2.425284
-3.0,1,2.445385
-3.0,1,2.46766
-3.25,6,2.499897
4.9,1,2.529986
-3.0,1,2.557121
4.3,5,2.591207
4.45,4,2.620401
4.6,3,2.647967
-3.05,2,2.675248
4.15,6,2.712015
-3.1,3,2.740631
4.3,5,2.778488
4.6,3,2.805601
-3.0,1,2.827081
-3.2,5,2.859349
3.85,8,2.894693
-3.65,14,2.940908
4.9,1,2.966401
-3.0,1,2.990449
4.3,5,3.019101
-3.35,8,3.053306
