#{"t_start": 1787939033.7935355, "env_id": "None"}
r,l,t
4.75,2,0.036003
4.15,6,0.066422
4.15,6,0.097172
4.75,2,0.129167
-3.0,1,0.152664
-3.05,2,0.175588
4.6,3,0.203232
-3.0,1,0.225911
4.15,6,0.256663
-3.4,9,0.295905
-3.2,5,0.332708
-3.05,2,0.359938
-3.0,1,0.385855
4.6,3,0.408913
-3.2,5,0.437575
-3.05,2,0.463159
-3.45,10,0.502313
-3.2,5,0.528943
-3.15,4,0.5595
-3.25,6,0.590431
-3.1,3,0.615941
-3.0,1,0.641451
4.75,2,0.665341
-3.05,2,0.69038
4.0,7,0.720414
-3.1,3,0.744575
4.0,7,0.775788
-3.2,5,0.803789
-3.0,1,0.827806
-3.1,3,0.856725
-3.0,1,0.884963
-3.5,11,0.922433
-3.05,2,0.946743
-3.05,2,0.973839
-3.1,3,1.00224
4.6,3,1.035887
-3.05,2,1.064947
-3.0,1,1.090326
-1.75,15,1.152394
-3.05,2,1.182487
-3.2,5,1.216459
-3.1,3,1.245566
-3.45,10,1.294864
4.3,5,1.335378
-3.0,1,1.365327
4.6,3,1.398664
4.0,7,1.437033
-3.1,3,1.474449
4.3,5,1.511688
4.45,4,1.545822
-3.05,2,1.575859
4.75,2,1.604113
-3.05,2,1.629041
-3.2,5,1.662458
4.75,2,1.686053
-3.05,2,1.712421
-3.2,5,1.744991
-3.6,13,1.786844
3.85,8,1.823567
-3.2,5,1.854268
-3.5,11,2.044302
4.6,3,2.068988
4.45,4,2.099376
4.6,3,2.131872
4.6,3,2.165701
-3.1,3,2.192317
-3.05,2,2.215044
4.45,4,2.242704
3.4,11,2.276931
-3.05,2,2.301193
4.3,5,2.333396
-3.05,2,2.359125
-3.0,1,2.380308
4.0,7,2.411829
-3.15,4,2.440848
-3.0,1,2.462626
4.3,5,2.491561
-3.05,2,2.514759
-3.0,1,2.537616
-3.05,2,2.566276
-3.0,1,2.594073
-1.75,15,2.655628
-3.0,1,2.690914
-3.1,3,2.720675
-3.0,1,2.743936
-3.0,1,2.775513
4.9,1,2.800264
-3.05,2,2.830614
-3.5,11,2.872206
3.7,9,2.91578
-3.05,2,2.942158
-3.0,1,2.971871
-3.0,1,2.99753
-3.05,2,3.030702
4.75,2,3.061071
-3.0,1,3.085487
-3.0,1,3.110888
-3.15,4,3.137563
-3.3,7,3.172933
4.6,3,3.197703
-3.3,7,3.226455
-3.0,1,3.246467
-3.05,2,3.273189
4.15,6,3.308481
4.45,4,3.336734
-3.0,1,3.360463
4.6,3,3.389274
-3.0,1,3.410414
-3.15,4,3.438608
-3.05,2,3.463059
-3.1,3,3.487607
-3.15,4,3.520972
-3.15,4,3.555525
-3.2,5,3.591114
-3.0,1,3.613947
4.75,2,3.648742
-3.25,6,3.681229
-3.0,1,3.709089
4.75,2,3.736122
-3.05,2,3.763771
-3.05,2,3.790009
-3.1,3,3.820198
4.45,4,3.855379
-3.4,9,3.895624
-3.15,4,3.920917
-3.1,3,3.95015
-3.0,1,3.97184
3.55,10,4.011055
-3.0,1,4.033273
-3.15,4,4.068007
3.7,9,4.104113
4.15,6,4.142511
4.75,2,4.350605
-3.0,1,4.379606
-3.55,12,4.425373
4.45,4,4.456154
-3.5,11,4.497653
-3.25,6,4.531531
-3.55,12,4.577911
-3.0,1,4.606319
-3.6,13,4.648758
-3.55,12,4.699689
-3.05,2,4.730847
-3.2,5,4.762892
-3.05,2,4.784436
-3.05,2,4.811489
-1.75,15,4.863294
-3.0,1,4.884185
-3.2,5,4.914388
-3.0,1,4.937286
-1.75,15,4.982905
-3.3,7,5.012551
-3.15,4,5.039346
4.6,3,5.067111
-3.0,1,5.091031
-3.1,3,5.117039
4.6,3,5.14445
-3.3,7,5.175756
4.15,6,5.207198
4.75,2,5.237722
-3.0,1,5.259769
-3.5,11,5.296924
-3.0,1,5.319055
4.45,4,5.348054
4.3,5,5.377165
-3.0,1,5.399282
-3.0,1,5.424165
-3.0,1,5.446392
-3.1,3,5.471232
4.75,2,5.499768
-3.15,4,5.524737
4.0,7,5.552514
-3.0,1,5.579854
-3.2,5,5.6077
4.3,5,5.635728
3.4,11,5.681021
-3.05,2,5.709348
-3.4,9,5.747189
-3.2,5,5.777437
-3.05,2,5.804724
4.75,2,5.835232
-3.05,2,5.862582
-3.15,4,5.892728
-3.05,2,5.915877
-3.0,1,5.943401
-3.2,5,5.971142
-3.25,6,6.182397
-3.05,2,6.21423
-3.05,2,6.24876
4.6,3,6.287559
-3.0,1,6.311115
3.55,10,6.351036
-3.1,3,6.381599
4.45,4,6.416965
-3.05,2,6.444229
4.15,6,6.479137
4.0,7,6.516737
-3.0,1,6.540927
-3.05,2,6.566796
-3.05,2,6.59249
4.15,6,6.625626
