#{"t_start": 1787938387.0149505, "env_id": "None"}
r,l,t
-3.15,4,0.037962
-3.0,1,0.06217
-3.0,1,0.087796
4.3,5,0.123986
3.85,8,0.15782
-3.0,1,0.178423
-3.05,2,0.20322
-3.25,6,0.232499
-3.05,2,0.256864
-3.0,1,0.278447
4.15,6,0.311563
-3.3,7,0.344462
-3.0,1,0.365446
-3.0,1,0.393301
-3.1,3,0.423035
-3.0,1,0.448976
-3.1,3,0.479609
-3.05,2,0.503642
-3.3,7,0.538078
4.45,4,0.566479
-3.0,1,0.587329
-1.75,15,0.635712
-3.1,3,0.66378
-3.4,9,0.700291
3.85,8,0.737651
-3.1,3,0.765274
4.3,5,0.801652
-3.05,2,0.827644
-3.1,3,0.85513
-3.0,1,0.886177
4.75,2,0.912978
-3.5,11,0.957431
-3.2,5,0.989914
4.3,5,1.022153
4.15,6,1.059041
4.6,3,1.088846
-3.0,1,1.112296
-3.5,11,1.155338
4.0,7,1.188507
-3.15,4,1.219844
4.15,6,1.253807
3.55,10,1.291454
-3.15,4,1.321522
-3.05,2,1.345423
-3.3,7,1.378264
-3.05,2,1.40384
-3.0,1,1.42873
-3.6,13,1.473019
-3.3,7,1.507315
4.45,4,1.5326
-3.0,1,1.555461
4.6,3,1.581678
-3.0,1,1.610165
-3.0,1,1.636073
-3.05,2,1.662779
-3.25,6,1.695782
4.6,3,1.724009
3.85,8,1.76056
-1.75,15,1.976066
-3.05,2,2.00092
-3.05,2,2.029032
4.0,7,2.068751
4.45,4,2.0983
3.7,9,2.137311
-3.1,3,2.160993
-3.65,14,2.203611
4.45,4,2.227586
4.15,6,2.257888
-3.0,1,2.277867
-3.25,6,2.308312
-3.45,10,2.348995
-3.2,5,2.379593
-3.0,1,2.402074
-3.0,1,2.428193
-1.75,15,2.479324
4.45,4,2.512054
-3.5,11,2.554383
-3.15,4,2.584648
4.3,5,2.616883
4.0,7,2.656952
-3.15,4,2.685144
-3.0,1,2.713212
-3.15,4,2.751048
-3.1,3,2.783444
4.15,6,2.818992
-3.0,1,2.849319
-3.0,1,2.876703
-3.0,1,2.904508
-3.1,3,2.93131
-3.15,4,2.957912
