#{"t_start": 1787940109.4544053, "env_id": "None"}
r,l,t
-3.05,2,0.037412
-3.15,4,0.067402
4.45,4,0.095409
-3.3,7,0.12968
-3.0,1,0.150892
4.45,4,0.175982
-3.0,1,0.198375
-3.2,5,0.227229
4.3,5,0.257338
4.0,7,0.287138
-3.5,11,0.329037
-3.0,1,0.349092
4.45,4,0.37452
2.95,14,0.420451
4.0,7,0.452682
-3.0,1,0.475587
4.45,4,0.504547
-3.2,5,0.54162
-3.0,1,0.562791
-3.15,4,0.590975
-3.0,1,0.615451
-3.1,3,0.644485
-3.0,1,0.664988
4.3,5,0.696858
-3.05,2,0.719454
-3.15,4,0.745775
-3.35,8,0.775898
-3.3,7,0.809492
4.45,4,0.836208
4.9,1,0.85937
-3.6,13,0.90129
-3.0,1,0.925059
-3.0,1,0.94728
-3.25,6,0.983916
-3.15,4,1.011462
4.9,1,1.040159
-3.1,3,1.065796
-3.2,5,1.096949
-3.05,2,1.127611
-1.75,15,1.174092
-3.05,2,1.200449
-3.2,5,1.230439
-3.0,1,1.252762
-3.05,2,1.280126
-3.35,8,1.312083
-3.05,2,1.339696
-3.05,2,1.363594
-3.35,8,1.397432
-3.3,7,1.430615
-3.0,1,1.451872
-3.05,2,1.478341
4.3,5,1.513132
-3.0,1,1.545077
4.9,1,1.57431
-3.0,1,1.601161
-3.0,1,1.627706
-3.1,3,1.657848
-3.0,1,1.682523
-3.05,2,1.709836
4.15,6,1.74232
4.15,6,1.776937
-3.0,1,1.802882
4.6,3,1.83244
4.15,6,1.861759
-3.0,1,2.03568
-3.2,5,2.063919
-3.0,1,2.08745
3.55,10,2.127226
4.15,6,2.160276
4.15,6,2.192741
-3.25,6,2.231515
4.3,5,2.260748
-3.15,4,2.288391
-3.4,9,2.321011
-3.05,2,2.346118
-3.05,2,2.367187
-3.0,1,2.38919
-3.45,10,2.431373
-3.05,2,2.458978
4.15,6,2.489367
4.75,2,2.518736
-3.0,1,2.541619
-3.0,1,2.563082
-3.5,11,2.604212
-3.05,2,2.630298
-3.05,2,2.652874
-3.15,4,2.679527
-3.0,1,2.705107
