observation_mode,runs,requested_timesteps_total,stored_timesteps_total,training_seconds_total,training_hours_total,training_seconds_mean_per_run,training_seconds_sample_sd,training_seconds_min,training_seconds_max
combined,10,350000,350720,2163.775907999603,0.601048863333223,216.3775907999603,2.6422339675018605,211.1327583999373,219.48373799980618
rgb_only,10,350000,350720,2139.566571199801,0.5943240475555003,213.9566571199801,2.846156335460588,207.03355919988826,216.98317689984106
height_only,10,350000,350720,2144.330824899953,0.595647451361098,214.4330824899953,4.384124221292562,202.6670667999424,217.77542930003256
all_conditions,30,1050000,1052160,6447.673304099357,1.7910203622498213,214.92244346997856,3.4321988260212635,202.6670667999424,219.48373799980618
