#{"t_start": 1787939251.317701, "env_id": "None"}
r,l,t
-3.05,2,0.033413
-3.15,4,0.059988
4.45,4,0.091218
-3.3,7,0.125133
-3.0,1,0.150405
4.45,4,0.177562
-3.0,1,0.20081
-3.2,5,0.228576
4.3,5,0.258551
4.0,7,0.288464
-3.5,11,0.325681
-3.0,1,0.349052
4.45,4,0.375926
2.95,14,0.425791
4.0,7,0.462364
-3.0,1,0.483992
4.45,4,0.512098
-3.2,5,0.546041
-3.0,1,0.570033
-3.15,4,0.6068
-3.0,1,0.634401
-3.1,3,0.669546
-3.0,1,0.690814
4.3,5,0.72513
-3.05,2,0.750579
-3.15,4,0.779875
-3.35,8,0.816653
-3.3,7,0.85648
4.45,4,0.88627
4.9,1,0.911708
-3.6,13,0.956207
-3.0,1,0.980253
-3.0,1,1.007496
-3.25,6,1.039536
-3.15,4,1.067464
4.9,1,1.090232
-3.1,3,1.117329
-3.2,5,1.1525
-3.05,2,1.179561
-1.75,15,1.222455
-3.05,2,1.252563
-3.2,5,1.277376
-3.0,1,1.300375
-3.05,2,1.325827
-3.35,8,1.364475
-3.05,2,1.396141
-3.05,2,1.426712
-3.35,8,1.463928
-3.3,7,1.501931
-3.0,1,1.522278
-3.05,2,1.545723
4.3,5,1.574922
-3.0,1,1.6026
4.9,1,1.623273
-3.0,1,1.649648
-3.0,1,1.675858
-3.1,3,1.706084
-3.0,1,1.7303
-3.05,2,1.759009
4.15,6,1.790786
4.15,6,1.828881
-3.0,1,1.85618
4.6,3,1.888335
4.15,6,1.915869
-3.0,1,2.10483
-3.2,5,2.138731
-3.0,1,2.16442
3.55,10,2.203359
4.15,6,2.236248
4.15,6,2.265804
-3.25,6,2.297628
4.3,5,2.326712
-3.15,4,2.35834
-3.4,9,2.394651
-3.05,2,2.42491
-3.05,2,2.452061
-3.0,1,2.478993
-3.45,10,2.51642
-3.05,2,2.539454
4.15,6,2.568141
4.75,2,2.599068
-3.0,1,2.620173
-3.0,1,2.642328
-3.5,11,2.684935
-3.05,2,2.711763
-3.05,2,2.739523
-3.15,4,2.768739
-3.0,1,2.793834
-3.05,2,2.818227
-3.05,2,2.840783
-3.3,7,2.873536
-3.1,3,2.898199
3.85,8,2.930213
-3.05,2,2.953573
-3.25,6,2.994331
-3.2,5,3.028502
-3.0,1,3.049442
4.75,2,3.074016
-3.05,2,3.102807
