episode,reward,length,elapsed_seconds
1,4.3,5,0.048836469650268555
2,-3.1,3,0.07669806480407715
3,4.3,5,0.11235189437866211
4,-3.25,6,0.14409756660461426
5,-3.0,1,0.1658787727355957
6,-3.1,3,0.19561004638671875
7,-3.1,3,0.2245628833770752
8,-3.0,1,0.24867749214172363
9,4.6000000000000005,3,0.27489280700683594
10,-3.15,4,0.3081991672515869
11,3.4,11,0.3477437496185303
12,-3.05,2,0.36940550804138184
13,-3.05,2,0.39745283126831055
14,-3.1,3,0.4226698875427246
15,-3.0,1,0.4472169876098633
16,-3.0,1,0.47342824935913086
17,4.0,7,0.5075857639312744
18,4.15,6,0.5361340045928955
19,-3.05,2,0.5601694583892822
20,-3.2,5,0.5957005023956299
21,-3.15,4,0.6261498928070068
22,3.4,11,0.678537130355835
23,-3.05,2,0.7071056365966797
24,-3.15,4,0.733393669128418
25,-3.15,4,0.7643129825592041
26,-3.0,1,0.7924559116363525
27,-3.0,1,0.8233160972595215
28,-3.0,1,0.8467316627502441
29,-3.05,2,0.8754003047943115
30,-3.0,1,0.9021260738372803
31,-3.0,1,0.9251763820648193
32,3.6999999999999997,9,0.967693567276001
33,4.449999999999999,4,0.9987185001373291
34,-3.0,1,1.0212152004241943
35,-3.15,4,1.0542469024658203
36,3.55,10,1.1015987396240234
37,4.0,7,1.136049509048462
38,-3.15,4,1.166961669921875
39,-3.35,8,1.2030589580535889
40,-3.1,3,1.2294909954071045
41,3.85,8,1.267124891281128
42,-3.0,1,1.2961504459381104
43,-3.1,3,1.3267841339111328
44,-3.0,1,1.3478143215179443
45,-3.2,5,1.3742470741271973
46,-3.1,3,1.4001972675323486
47,-3.1,3,1.4306154251098633
48,-3.1,3,1.4570038318634033
49,-3.1,3,1.4923932552337646
50,-1.75,15,1.5356991291046143
51,-3.2,5,1.5684030055999756
52,-3.0,1,1.599736213684082
53,-3.0,1,1.6312170028686523
54,-3.05,2,1.6590995788574219
55,-3.25,6,1.6895012855529785
56,-3.05,2,1.7121198177337646
57,-3.25,6,1.7465074062347412
58,-3.3,7,1.778247594833374
59,-3.1,3,1.8070988655090332
60,-3.05,2,1.8281900882720947
61,-3.6,13,1.8738622665405273
62,-3.45,10,2.051393747329712
63,-3.15,4,2.0795109272003174
64,-3.1,3,2.106835126876831
65,-3.35,8,2.1392247676849365
66,-3.1,3,2.165036916732788
67,4.15,6,2.1966958045959473
68,-3.05,2,2.224210739135742
69,-3.3,7,2.256983995437622
70,4.9,1,2.279956340789795
71,3.85,8,2.3137784004211426
72,-3.25,6,2.345792531967163
73,-3.2,5,2.3779709339141846
74,-3.05,2,2.403679847717285
75,-3.0,1,2.4274473190307617
76,3.6999999999999997,9,2.465954303741455
