#{"t_start": 1787939247.7590098, "env_id": "None"}
r,l,t
4.3,5,0.048836
-3.1,3,0.076698
4.3,5,0.112352
-3.25,6,0.144098
-3.0,1,0.165879
-3.1,3,0.19561
-3.1,3,0.224563
-3.0,1,0.248677
4.6,3,0.274893
-3.15,4,0.308199
3.4,11,0.347744
-3.05,2,0.369406
-3.05,2,0.397453
-3.1,3,0.42267
-3.0,1,0.447217
-3.0,1,0.473428
4.0,7,0.507586
4.15,6,0.536134
-3.05,2,0.560169
-3.2,5,0.595701
-3.15,4,0.62615
3.4,11,0.678537
-3.05,2,0.707106
-3.15,4,0.733394
-3.15,4,0.764313
-3.0,1,0.792456
-3.0,1,0.823316
-3.0,1,0.846732
-3.05,2,0.8754
-3.0,1,0.902126
-3.0,1,0.925176
3.7,9,0.967694
4.45,4,0.998719
-3.0,1,1.021215
-3.15,4,1.054247
3.55,10,1.101599
4.0,7,1.13605
-3.15,4,1.166962
-3.35,8,1.203059
-3.1,3,1.229491
3.85,8,1.267125
-3.0,1,1.29615
-3.1,3,1.326784
-3.0,1,1.347814
-3.2,5,1.374247
-3.1,3,1.400197
-3.1,3,1.430615
-3.1,3,1.457004
-3.1,3,1.492393
-1.75,15,1.535699
-3.2,5,1.568403
-3.0,1,1.599736
-3.0,1,1.631217
-3.05,2,1.6591
-3.25,6,1.689501
-3.05,2,1.71212
-3.25,6,1.746507
-3.3,7,1.778248
-3.1,3,1.807099
-3.05,2,1.82819
-3.6,13,1.873862
-3.45,10,2.051394
-3.15,4,2.079511
-3.1,3,2.106835
-3.35,8,2.139225
-3.1,3,2.165037
4.15,6,2.196696
-3.05,2,2.224211
-3.3,7,2.256984
4.9,1,2.279956
3.85,8,2.313778
-3.25,6,2.345793
-3.2,5,2.377971
-3.05,2,2.40368
-3.0,1,2.427447
3.7,9,2.465954
-3.0,1,2.49425
-1.75,15,2.549478
4.75,2,2.579727
-3.0,1,2.612826
4.75,2,2.640859
4.75,2,2.673846
3.85,8,2.710149
-3.0,1,2.740601
-3.55,12,2.782585
4.3,5,2.814509
4.45,4,2.847501
-3.35,8,2.886766
4.75,2,2.914456
4.45,4,2.945484
-3.0,1,2.969703
-3.0,1,2.997019
-3.1,3,3.023426
4.45,4,3.057464
-3.0,1,3.082469
-3.2,5,3.115149
-3.0,1,3.141919
-3.35,8,3.176702
-3.05,2,3.200443
-3.0,1,3.227552
-3.05,2,3.260985
4.15,6,3.297221
-3.2,5,3.327934
-3.1,3,3.356404
-3.0,1,3.384414
-3.05,2,3.409313
-3.1,3,3.434842
3.55,10,3.47356
-3.15,4,3.499626
-3.3,7,3.529106
-1.75,15,3.574474
-1.75,15,3.61768
-3.0,1,3.642713
-3.55,12,3.683318
-3.05,2,3.713099
-3.0,1,3.736253
-3.1,3,3.763066
4.9,1,3.784194
-3.05,2,3.946147
-3.15,4,3.979717
-3.1,3,4.010597
-3.25,6,4.042683
-3.05,2,4.069747
-3.45,10,4.113315
-3.1,3,4.139868
-3.6,13,4.181574
-3.2,5,4.212365
-3.0,1,4.236966
3.7,9,4.274242
-3.0,1,4.29898
-3.0,1,4.323359
-3.25,6,4.358078
-3.05,2,4.384895
-3.2,5,4.412985
3.4,11,4.457495
3.85,8,4.49259
4.3,5,4.523607
-3.45,10,4.558514
-3.15,4,4.587289
-3.05,2,4.609429
-3.4,9,4.643291
-3.25,6,4.672927
-3.1,3,4.703473
-3.0,1,4.727924
-3.4,9,4.763504
-3.05,2,4.785726
-3.1,3,4.812257
-3.0,1,4.832917
-3.0,1,4.862256
-3.1,3,4.889208
-3.35,8,4.929978
4.75,2,4.956343
-3.0,1,4.981367
-3.65,14,5.036889
4.15,6,5.072148
-3.0,1,5.095261
4.75,2,5.12004
4.15,6,5.151964
4.45,4,5.182971
4.15,6,5.215986
-3.15,4,5.247515
4.45,4,5.275266
4.45,4,5.301201
-3.0,1,5.325955
3.85,8,5.360471
-3.15,4,5.389675
-3.0,1,5.421338
-3.5,11,5.462143
-3.0,1,5.4868
-3.15,4,5.517271
-3.05,2,5.546006
3.85,8,5.585864
-3.0,1,5.61082
-3.05,2,5.63745
3.7,9,5.845333
-3.1,3,5.868704
-3.1,3,5.895983
-3.4,9,5.936473
-3.4,9,5.977778
-3.0,1,6.001102
4.45,4,6.032131
4.45,4,6.064236
-3.2,5,6.09249
-3.05,2,6.114394
-3.0,1,6.143057
4.9,1,6.164468
3.7,9,6.199865
-3.15,4,6.231113
-3.1,3,6.259363
-3.3,7,6.296109
3.7,9,6.330936
4.45,4,6.359536
-3.0,1,6.38594
-3.1,3,6.414197
