#{"t_start": 1787938173.360768, "env_id": "None"}
r,l,t
4.75,2,0.049661
4.15,6,0.086452
4.15,6,0.119441
4.75,2,0.155736
-3.0,1,0.181451
-3.05,2,0.209382
4.6,3,0.243539
-3.0,1,0.278848
4.15,6,0.323026
-3.4,9,0.366595
-3.2,5,0.405355
-3.05,2,0.434614
-3.0,1,0.464065
4.6,3,0.493922
-3.2,5,0.527872
-3.05,2,0.55566
-3.45,10,0.598146
-3.2,5,0.63215
-3.15,4,0.666615
-3.25,6,0.69967
-3.1,3,0.728711
-3.0,1,0.756915
4.75,2,0.785034
-3.05,2,0.818245
4.0,7,0.852729
-3.1,3,0.882834
4.0,7,0.919968
-3.2,5,0.951184
-3.0,1,0.972811
-3.1,3,1.005074
-3.0,1,1.028591
-3.5,11,1.066705
-3.05,2,1.090014
-3.05,2,1.115956
-3.1,3,1.143198
4.6,3,1.170873
-3.05,2,1.197072
-3.0,1,1.21951
-1.75,15,1.268628
-3.05,2,1.294447
-3.2,5,1.326394
-3.1,3,1.353092
-3.45,10,1.391911
4.3,5,1.421439
-3.0,1,1.451845
4.6,3,1.47869
4.0,7,1.509687
-3.1,3,1.537345
4.3,5,1.570107
4.45,4,1.59852
-3.05,2,1.622588
4.75,2,1.646171
-3.05,2,1.668802
-3.2,5,1.697932
4.75,2,1.722781
-3.05,2,1.747618
-3.2,5,1.775964
-3.6,13,1.81431
3.85,8,1.846472
-3.2,5,1.87714
-3.5,11,2.083537
4.6,3,2.109704
4.45,4,2.139527
4.6,3,2.171386
4.6,3,2.200495
-3.1,3,2.228363
-3.05,2,2.251476
4.45,4,2.281987
3.4,11,2.321806
-3.05,2,2.35076
4.3,5,2.384667
-3.05,2,2.411726
-3.0,1,2.432953
4.0,7,2.471673
-3.15,4,2.499323
-3.0,1,2.521859
4.3,5,2.552341
-3.05,2,2.576665
-3.0,1,2.597609
-3.05,2,2.623
-3.0,1,2.644689
-1.75,15,2.685768
-3.0,1,2.713557
-3.1,3,2.745821
-3.0,1,2.767079
-3.0,1,2.795583
4.9,1,2.819975
-3.05,2,2.848811
-3.5,11,2.887702
3.7,9,2.922288
-3.05,2,2.947006
-3.0,1,2.973608
-3.0,1,3.001837
