episode,reward,length,elapsed_seconds
1,-3.15,4,0.04077911376953125
2,-3.05,2,0.0671849250793457
3,4.75,2,0.09691190719604492
4,-3.0,1,0.12170696258544922
5,-3.05,2,0.15239453315734863
6,-3.0,1,0.17945456504821777
7,-3.2,5,0.20881247520446777
8,-3.0,1,0.23554730415344238
9,-3.05,2,0.2630774974822998
10,4.449999999999999,4,0.29087305068969727
11,-3.4,9,0.3327651023864746
12,-3.15,4,0.36045098304748535
13,3.55,10,0.4016420841217041
14,4.9,1,0.43018245697021484
15,-3.0,1,0.45880818367004395
16,-3.0,1,0.48545217514038086
17,-3.0,1,0.510941743850708
18,-3.05,2,0.5378110408782959
19,-3.05,2,0.5675525665283203
20,-3.05,2,0.5921547412872314
21,-3.05,2,0.6174623966217041
22,-1.75,15,0.6607062816619873
23,3.6999999999999997,9,0.6997668743133545
24,-3.05,2,0.7232136726379395
25,-3.35,8,0.7630083560943604
26,-3.1,3,0.7904577255249023
27,-3.55,12,0.8359355926513672
28,4.449999999999999,4,0.8716294765472412
29,-3.1,3,0.8994994163513184
30,-3.25,6,0.9310576915740967
31,-3.0,1,0.9520988464355469
32,4.449999999999999,4,0.9794676303863525
33,-3.0,1,1.0026168823242188
34,4.6000000000000005,3,1.0286898612976074
35,-3.0,1,1.0518298149108887
36,-3.0,1,1.0746185779571533
37,-3.05,2,1.1031694412231445
38,-3.0,1,1.1238267421722412
39,-3.05,2,1.1550822257995605
40,-3.1,3,1.1817123889923096
41,-3.1,3,1.2057058811187744
42,-3.0,1,1.2327299118041992
43,-3.1,3,1.2565646171569824
44,-3.0,1,1.2830259799957275
45,4.3,5,1.3119409084320068
46,-3.1,3,1.339932918548584
47,-3.6,13,1.3834075927734375
48,4.9,1,1.4088194370269775
49,-3.05,2,1.4356780052185059
50,-3.05,2,1.461547613143921
51,4.6000000000000005,3,1.4875586032867432
52,-3.05,2,1.514611005783081
53,-3.1,3,1.5387811660766602
54,-3.05,2,1.5647873878479004
55,-3.15,4,1.5962886810302734
56,-3.0,1,1.6245393753051758
