#{"t_start": 1787938605.3736298, "env_id": "None"}
r,l,t
-3.15,4,0.040779
-3.05,2,0.067185
4.75,2,0.096912
-3.0,1,0.121707
-3.05,2,0.152395
-3.0,1,0.179455
-3.2,5,0.208812
-3.0,1,0.235547
-3.05,2,0.263077
4.45,4,0.290873
-3.4,9,0.332765
-3.15,4,0.360451
3.55,10,0.401642
4.9,1,0.430182
-3.0,1,0.458808
-3.0,1,0.485452
-3.0,1,0.510942
-3.05,2,0.537811
-3.05,2,0.567553
-3.05,2,0.592155
-3.05,2,0.617462
-1.75,15,0.660706
3.7,9,0.699767
-3.05,2,0.723214
-3.35,8,0.763008
-3.1,3,0.790458
-3.55,12,0.835936
4.45,4,0.871629
-3.1,3,0.899499
-3.25,6,0.931058
-3.0,1,0.952099
4.45,4,0.979468
-3.0,1,1.002617
4.6,3,1.02869
-3.0,1,1.05183
-3.0,1,1.074619
-3.05,2,1.103169
-3.0,1,1.123827
-3.05,2,1.155082
-3.1,3,1.181712
-3.1,3,1.205706
-3.0,1,1.23273
-3.1,3,1.256565
-3.0,1,1.283026
4.3,5,1.311941
-3.1,3,1.339933
-3.6,13,1.383408
4.9,1,1.408819
-3.05,2,1.435678
-3.05,2,1.461548
4.6,3,1.487559
-3.05,2,1.514611
-3.1,3,1.538781
-3.05,2,1.564787
-3.15,4,1.596289
-3.0,1,1.624539
-3.05,2,1.653239
-3.2,5,1.682533
3.7,9,1.718326
-3.0,1,1.748396
-3.0,1,1.776444
-3.0,1,1.799323
-3.0,1,1.825007
-3.0,1,1.848666
-3.7,15,1.898469
-3.0,1,1.921198
-3.2,5,1.953308
-3.0,1,1.985016
-3.05,2,2.016467
4.75,2,2.046232
-3.0,1,2.069342
-3.05,2,2.095294
-3.0,1,2.119049
-3.0,1,2.144817
-3.0,1,2.178467
4.9,1,2.201539
4.0,7,2.233449
-3.1,3,2.260379
-3.0,1,2.287583
-3.0,1,2.312624
-3.1,3,2.485352
-3.0,1,2.505523
-3.0,1,2.530574
-3.25,6,2.55694
4.9,1,2.583555
-3.0,1,2.604551
4.3,5,2.633823
4.45,4,2.663948
4.6,3,2.688017
-3.05,2,2.712706
4.15,6,2.741334
-3.1,3,2.768367
4.3,5,2.800693
4.6,3,2.828655
-3.0,1,2.848294
-3.2,5,2.878368
3.85,8,2.913531
-3.65,14,2.952835
4.9,1,2.976966
-3.0,1,3.000371
4.3,5,3.028662
-3.35,8,3.065827
-3.15,4,3.09356
-3.2,5,3.121139
-3.0,1,3.145662
-3.0,1,3.169216
-1.75,15,3.223502
-3.0,1,3.249191
-3.05,2,3.2809
-3.05,2,3.311026
-3.05,2,3.334584
-3.15,4,3.371628
4.45,4,3.407384
-3.15,4,3.441935
-3.05,2,3.467932
-3.05,2,3.495181
4.6,3,3.52555
-3.0,1,3.551161
4.75,2,3.58041
-3.0,1,3.609394
4.0,7,3.65129
-3.0,1,3.676858
-3.25,6,3.706797
-3.0,1,3.734735
-3.1,3,3.763284
-3.15,4,3.790137
-3.35,8,3.82003
-1.75,15,3.85966
-3.0,1,3.883613
-3.0,1,3.905367
-3.05,2,3.931879
-3.0,1,3.954332
4.15,6,3.991318
-3.05,2,4.019068
-3.05,2,4.04314
-3.2,5,4.07252
-3.25,6,4.102888
-3.0,1,4.125569
-3.0,1,4.151265
-3.05,2,4.176273
-3.0,1,4.200956
-3.15,4,4.230705
-3.05,2,4.254534
4.3,5,4.291194
-3.2,5,4.326093
-3.6,13,4.370943
-3.2,5,4.401779
3.85,8,4.593863
-3.0,1,4.618567
-3.05,2,4.647171
-3.0,1,4.670758
-3.55,12,4.71481
4.75,2,4.739188
-3.35,8,4.772312
-3.25,6,4.808025
-3.1,3,4.836624
-3.05,2,4.862816
4.6,3,4.893188
-3.4,9,4.935163
4.6,3,4.962491
-3.05,2,4.989226
-3.1,3,5.018566
3.85,8,5.051954
-3.0,1,5.078872
3.7,9,5.121319
-3.0,1,5.145482
4.75,2,5.178326
-3.15,4,5.214563
-3.1,3,5.240979
-3.1,3,5.268083
3.85,8,5.302656
-3.4,9,5.346558
-3.0,1,5.371256
-3.15,4,5.400567
-3.0,1,5.424382
-3.2,5,5.454144
-3.0,1,5.481192
-3.25,6,5.514539
-1.75,15,5.561987
-3.2,5,5.589227
-3.0,1,5.612689
-3.0,1,5.63799
-3.15,4,5.665475
-3.3,7,5.69865
-3.05,2,5.722921
-3.15,4,5.754559
4.15,6,5.78574
4.0,7,5.819614
-3.0,1,5.843103
-3.4,9,5.875689
4.45,4,5.90083
-3.25,6,5.928706
4.6,3,5.956395
-3.1,3,5.985358
-1.75,15,6.032071
-3.05,2,6.054768
-1.75,15,6.096509
3.25,12,6.134799
-3.05,2,6.157938
-3.35,8,6.354659
4.3,5,6.385135
-3.0,1,6.41079
-3.15,4,6.438478
-3.1,3,6.472964
-3.0,1,6.499845
4.3,5,6.532341
-3.0,1,6.563371
-3.05,2,6.5899
4.15,6,6.628991
-3.35,8,6.675219
-3.0,1,6.704535
-3.1,3,6.73946
4.6,3,6.771429
-3.1,3,6.79897
-3.0,1,6.823653
4.3,5,6.850311
-3.25,6,6.880217
-3.05,2,6.903362
-3.1,3,6.933432
-3.0,1,6.959208
-3.05,2,6.982539
3.4,11,7.025096
4.75,2,7.051373
4.6,3,7.077217
4.0,7,7.10378
4.6,3,7.130633
-3.1,3,7.154067
3.85,8,7.186113
-3.0,1,7.214456
4.15,6,7.244069
4.75,2,7.266851
4.6,3,7.294016
4.15,6,7.326715
-3.2,5,7.35597
4.0,7,7.389534
4.45,4,7.424886
-3.1,3,7.451764
-3.4,9,7.488135
4.15,6,7.520824
-3.0,1,7.54556
4.45,4,7.572325
4.9,1,7.597906
-3.45,10,7.635312
-3.25,6,7.665031
-3.0,1,7.686023
-3.1,3,7.713579
-3.05,2,7.73565
3.55,10,7.773131
-3.05,2,7.801853
-3.0,1,7.826972
-3.05,2,7.850821
4.75,2,7.881395
4.3,5,7.91456
4.3,5,7.943619
-3.6,13,7.988447
4.45,4,8.021504
-3.15,4,8.053396
-3.35,8,8.089824
4.0,7,8.130454
4.45,4,8.159004
-3.05,2,8.186579
-3.35,8,8.3806
-3.05,2,8.406199
3.85,8,8.442162
-3.4,9,8.482951
4.6,3,8.508149
-3.25,6,8.542927
-3.05,2,8.56861
-3.05,2,8.597544
-3.2,5,8.629225
-3.0,1,8.653322
4.75,2,8.680613
3.85,8,8.722181
4.0,7,8.757359
-3.05,2,8.78674
-3.0,1,8.809217
3.4,11,8.846967
4.3,5,8.87256
-3.45,10,8.906661
3.7,9,8.937386
-3.05,2,8.960052
-3.05,2,8.985845
-3.15,4,9.016423
-3.1,3,9.048502
-3.05,2,9.081764
-3.2,5,9.112703
4.3,5,9.144992
4.3,5,9.173778
3.7,9,9.211614
-3.3,7,9.245219
-3.2,5,9.2745
-3.0,1,9.296885
-3.0,1,9.320136
-3.05,2,9.351404
-3.0,1,9.377066
4.3,5,9.413066
-3.5,11,9.449876
-3.25,6,9.480512
4.0,7,9.518237
-3.55,12,9.564361
-3.1,3,9.591912
-3.3,7,9.630025
-3.2,5,9.663556
-3.1,3,9.688329
4.3,5,9.722887
-3.2,5,9.756049
-3.05,2,9.789316
3.85,8,9.823872
4.45,4,9.852669
-3.0,1,9.879281
-3.05,2,9.903099
-3.25,6,9.937316
-3.05,2,9.964653
-3.1,3,9.988256
-3.6,13,10.203695
4.3,5,10.233452
-3.25,6,10.272177
-3.15,4,10.302222
4.45,4,10.335256
4.9,1,10.360282
4.75,2,10.389426
4.6,3,10.421186
3.7,9,10.462114
-3.25,6,10.494807
4.45,4,10.523864
-3.15,4,10.552911
-3.4,9,10.588628
3.25,12,10.629517
-3.0,1,10.652829
4.3,5,10.68778
3.25,12,10.738712
4.45,4,10.770709
-3.05,2,10.800135
