#{"t_start": 1787939464.608712, "env_id": "None"}
r,l,t
-3.5,11,0.052324
4.45,4,0.081492
4.6,3,0.112931
4.3,5,0.143147
-3.1,3,0.166342
-3.45,10,0.205899
-3.45,10,0.244718
-3.0,1,0.266897
-3.2,5,0.297827
-3.15,4,0.330915
4.6,3,0.362071
-1.75,15,0.406739
-3.0,1,0.428964
-3.0,1,0.451222
-3.15,4,0.478836
-3.15,4,0.504479
-3.0,1,0.530649
-3.0,1,0.555722
-3.0,1,0.584142
-3.0,1,0.606775
-3.05,2,0.632465
-3.0,1,0.65667
3.1,13,0.706163
-3.0,1,0.72941
-3.05,2,0.754037
-3.0,1,0.776078
-3.0,1,0.805912
3.4,11,0.844915
-3.15,4,0.875854
-3.15,4,0.907452
-3.0,1,0.930181
-3.15,4,0.957514
-3.05,2,0.981303
-3.0,1,1.008736
4.6,3,1.033568
4.0,7,1.07828
-3.0,1,1.110145
-3.1,3,1.142424
-3.05,2,1.16703
-3.05,2,1.194542
-3.0,1,1.224292
-3.05,2,1.251193
-3.6,13,1.295072
4.6,3,1.328283
4.3,5,1.365873
-3.35,8,1.402432
4.6,3,1.433292
-3.0,1,1.453007
-3.0,1,1.480445
-3.0,1,1.507363
-3.05,2,1.533294
-3.0,1,1.556114
-3.0,1,1.582118
-3.0,1,1.605547
4.75,2,1.631023
-3.1,3,1.656421
-3.1,3,1.680983
-3.15,4,1.706674
-3.15,4,1.733893
-3.0,1,1.762213
-3.25,6,1.793064
-3.05,2,1.81343
4.75,2,1.83579
-3.0,1,1.858752
-3.0,1,1.880695
-3.05,2,1.908091
-3.0,1,1.930783
4.15,6,1.961774
-3.05,2,1.985225
-3.0,1,2.009773
-3.05,2,2.032724
-3.0,1,2.054169
3.85,8,2.094994
-3.0,1,2.11693
-3.4,9,2.313554
-3.0,1,2.336364
-3.35,8,2.371629
-3.15,4,2.397795
-3.3,7,2.430957
-1.75,15,2.477989
-3.1,3,2.507539
-3.0,1,2.534722
-3.1,3,2.565445
-3.2,5,2.597171
-3.25,6,2.625779
-3.1,3,2.650954
-3.7,15,2.696242
-3.0,1,2.722024
-3.0,1,2.743117
4.3,5,2.778426
-3.1,3,2.805289
-3.6,13,2.859564
-3.1,3,2.886141
3.4,11,2.929487
-3.0,1,2.952522
-3.45,10,2.995255
-3.0,1,3.017486
-3.0,1,3.041181
-3.15,4,3.071852
3.7,9,3.108573
-3.0,1,3.131512
3.85,8,3.16305
-3.05,2,3.186796
-3.05,2,3.215563
-3.05,2,3.252644
-3.25,6,3.284737
-3.35,8,3.320652
-3.3,7,3.350698
-3.1,3,3.379074
-3.15,4,3.408228
4.6,3,3.434618
4.3,5,3.465468
-3.0,1,3.490833
-3.35,8,3.528494
-3.0,1,3.552129
-3.1,3,3.57908
-3.35,8,3.608377
4.3,5,3.638835
-3.1,3,3.66577
-3.1,3,3.692815
-3.0,1,3.712541
-3.0,1,3.733066
-3.0,1,3.761232
-3.0,1,3.781508
-3.65,14,3.82698
-3.2,5,3.855624
4.75,2,3.882611
3.55,10,3.92744
-3.35,8,4.129117
-3.35,8,4.174559
4.0,7,4.211251
-3.05,2,4.238948
-3.4,9,4.275588
-3.65,14,4.32332
-3.0,1,4.347869
-3.1,3,4.372455
-3.05,2,4.395796
3.55,10,4.437085
-3.45,10,4.484332
4.3,5,4.521919
-3.4,9,4.563121
-3.15,4,4.588827
-3.45,10,4.624153
-3.2,5,4.653826
-3.7,15,4.701587
4.15,6,4.731676
-1.75,15,4.782934
-3.0,1,4.80843
-3.25,6,4.839085
3.25,12,4.877758
-3.0,1,4.899512
-3.25,6,4.929689
-3.05,2,4.951798
3.7,9,4.991034
-1.75,15,5.0362
-3.65,14,5.088212
3.25,12,5.129536
3.55,10,5.167988
-3.0,1,5.192834
4.75,2,5.217093
4.6,3,5.245556
-3.3,7,5.278829
3.7,9,5.312994
-3.2,5,5.492083
4.15,6,5.526312
3.25,12,5.575134
4.15,6,5.605442
-3.1,3,5.628989
-3.0,1,5.649017
-3.35,8,5.681714
4.75,2,5.707063
3.4,11,5.746396
-3.05,2,5.776288
-3.0,1,5.801371
-3.2,5,5.837875
-3.25,6,5.880002
4.45,4,5.910068
