episode,reward,length,elapsed_seconds
1,-3.5,11,0.05232381820678711
2,4.449999999999999,4,0.08149170875549316
3,4.6000000000000005,3,0.1129305362701416
4,4.3,5,0.14314699172973633
5,-3.1,3,0.16634178161621094
6,-3.45,10,0.20589947700500488
7,-3.45,10,0.24471807479858398
8,-3.0,1,0.26689743995666504
9,-3.2,5,0.29782652854919434
10,-3.15,4,0.3309152126312256
11,4.6000000000000005,3,0.36207127571105957
12,-1.75,15,0.4067387580871582
13,-3.0,1,0.42896366119384766
14,-3.0,1,0.45122194290161133
15,-3.15,4,0.4788355827331543
16,-3.15,4,0.504478931427002
17,-3.0,1,0.5306491851806641
18,-3.0,1,0.5557217597961426
19,-3.0,1,0.5841422080993652
20,-3.0,1,0.6067748069763184
21,-3.05,2,0.6324646472930908
22,-3.0,1,0.6566698551177979
23,3.1,13,0.7061634063720703
24,-3.0,1,0.7294101715087891
25,-3.05,2,0.7540366649627686
26,-3.0,1,0.7760775089263916
27,-3.0,1,0.8059122562408447
28,3.4,11,0.8449153900146484
29,-3.15,4,0.8758535385131836
30,-3.15,4,0.9074521064758301
31,-3.0,1,0.9301807880401611
32,-3.15,4,0.9575140476226807
33,-3.05,2,0.9813034534454346
34,-3.0,1,1.0087358951568604
35,4.6000000000000005,3,1.0335681438446045
36,4.0,7,1.078279733657837
37,-3.0,1,1.110144853591919
38,-3.1,3,1.1424241065979004
39,-3.05,2,1.167029619216919
40,-3.05,2,1.1945421695709229
41,-3.0,1,1.224292278289795
42,-3.05,2,1.2511930465698242
43,-3.6,13,1.2950718402862549
44,4.6000000000000005,3,1.3282830715179443
45,4.3,5,1.365873098373413
46,-3.35,8,1.4024322032928467
47,4.6000000000000005,3,1.4332919120788574
48,-3.0,1,1.4530065059661865
49,-3.0,1,1.480445146560669
50,-3.0,1,1.5073626041412354
51,-3.05,2,1.5332939624786377
52,-3.0,1,1.5561141967773438
53,-3.0,1,1.5821175575256348
54,-3.0,1,1.6055471897125244
55,4.75,2,1.6310234069824219
56,-3.1,3,1.656421422958374
57,-3.1,3,1.6809828281402588
58,-3.15,4,1.7066740989685059
59,-3.15,4,1.7338926792144775
60,-3.0,1,1.7622134685516357
61,-3.25,6,1.7930638790130615
62,-3.05,2,1.813429832458496
63,4.75,2,1.8357903957366943
64,-3.0,1,1.8587522506713867
65,-3.0,1,1.8806953430175781
66,-3.05,2,1.9080908298492432
67,-3.0,1,1.9307825565338135
68,4.15,6,1.9617738723754883
69,-3.05,2,1.9852254390716553
70,-3.0,1,2.009772539138794
71,-3.05,2,2.032724142074585
72,-3.0,1,2.0541694164276123
73,3.85,8,2.0949935913085938
74,-3.0,1,2.1169304847717285
75,-3.4,9,2.31355357170105
76,-3.0,1,2.3363637924194336
77,-3.35,8,2.371628761291504
78,-3.15,4,2.397794723510742
79,-3.3,7,2.430957317352295
80,-1.75,15,2.4779891967773438
81,-3.1,3,2.5075392723083496
82,-3.0,1,2.534721851348877
83,-3.1,3,2.5654449462890625
84,-3.2,5,2.597170829772949
85,-3.25,6,2.6257786750793457
86,-3.1,3,2.650954246520996
87,-3.7,15,2.696241617202759
88,-3.0,1,2.722024440765381
89,-3.0,1,2.743116617202759
90,4.3,5,2.778425931930542
91,-3.1,3,2.8052890300750732
92,-3.6,13,2.8595643043518066
93,-3.1,3,2.8861405849456787
94,3.4,11,2.9294867515563965
95,-3.0,1,2.952521562576294
96,-3.45,10,2.9952547550201416
97,-3.0,1,3.017486095428467
98,-3.0,1,3.0411806106567383
99,-3.15,4,3.071852207183838
100,3.6999999999999997,9,3.1085734367370605
101,-3.0,1,3.131511926651001
102,3.85,8,3.1630501747131348
103,-3.05,2,3.186795711517334
104,-3.05,2,3.2155628204345703
105,-3.05,2,3.252643585205078
106,-3.25,6,3.2847366333007812
107,-3.35,8,3.320652484893799
108,-3.3,7,3.3506975173950195
109,-3.1,3,3.3790736198425293
110,-3.15,4,3.4082281589508057
111,4.6000000000000005,3,3.434617519378662
112,4.3,5,3.465467929840088
113,-3.0,1,3.490833044052124
114,-3.35,8,3.528494119644165
115,-3.0,1,3.552128791809082
116,-3.1,3,3.5790798664093018
117,-3.35,8,3.60837721824646
118,4.3,5,3.6388354301452637
119,-3.1,3,3.6657702922821045
120,-3.1,3,3.692814826965332
121,-3.0,1,3.712541341781616
122,-3.0,1,3.733065605163574
123,-3.0,1,3.7612321376800537
124,-3.0,1,3.781507730484009
125,-3.65,14,3.8269803524017334
126,-3.2,5,3.855623722076416
127,4.75,2,3.8826112747192383
128,3.55,10,3.9274399280548096
129,-3.35,8,4.129117250442505
130,-3.35,8,4.174558639526367
131,4.0,7,4.2112507820129395
132,-3.05,2,4.238948106765747
133,-3.4,9,4.275587558746338
134,-3.65,14,4.323319673538208
135,-3.0,1,4.347869396209717
136,-3.1,3,4.37245512008667
137,-3.05,2,4.395796060562134
138,3.55,10,4.437085151672363
139,-3.45,10,4.4843316078186035
140,4.3,5,4.521918535232544
141,-3.4,9,4.563120603561401
142,-3.15,4,4.588827133178711
143,-3.45,10,4.624152898788452
144,-3.2,5,4.653826475143433
145,-3.7,15,4.701586723327637
146,4.15,6,4.731675624847412
147,-1.75,15,4.782934188842773
148,-3.0,1,4.808429718017578
149,-3.25,6,4.839085102081299
150,3.25,12,4.877758026123047
151,-3.0,1,4.899512052536011
152,-3.25,6,4.929689407348633
153,-3.05,2,4.951797962188721
154,3.6999999999999997,9,4.9910337924957275
155,-1.75,15,5.036199569702148
156,-3.65,14,5.088212013244629
157,3.25,12,5.129536390304565
158,3.55,10,5.167987585067749
159,-3.0,1,5.192833662033081
160,4.75,2,5.217092752456665
161,4.6000000000000005,3,5.245556354522705
162,-3.3,7,5.278829097747803
163,3.6999999999999997,9,5.312993764877319
164,-3.2,5,5.492082834243774
165,4.15,6,5.526311635971069
166,3.25,12,5.57513427734375
167,4.15,6,5.6054418087005615
168,-3.1,3,5.6289894580841064
169,-3.0,1,5.649017095565796
170,-3.35,8,5.681713581085205
171,4.75,2,5.707062721252441
172,3.4,11,5.746395587921143
173,-3.05,2,5.77628755569458
174,-3.0,1,5.801371335983276
175,-3.2,5,5.8378753662109375
176,-3.25,6,5.880002021789551
177,4.449999999999999,4,5.910068035125732
178,4.15,6,5.947819948196411
179,4.15,6,5.983686685562134
180,-3.0,1,6.015013933181763
181,-3.3,7,6.051380395889282
182,-3.0,1,6.081584692001343
183,4.6000000000000005,3,6.108324766159058
184,-3.1,3,6.136656284332275
185,-3.0,1,6.161489248275757
186,-3.6,13,6.211240768432617
187,-3.1,3,6.238995552062988
188,-3.0,1,6.266126394271851
189,-3.05,2,6.294398546218872
