#{"t_start": 1787939898.4621682, "env_id": "None"}
r,l,t
-3.15,4,0.043597
-3.05,2,0.068152
4.75,2,0.096158
-3.0,1,0.126804
-3.05,2,0.159584
-3.0,1,0.1861
-3.2,5,0.214004
-3.0,1,0.239
-3.05,2,0.263973
4.45,4,0.289077
-3.4,9,0.323513
-3.15,4,0.350438
3.55,10,0.391314
4.9,1,0.414397
-3.0,1,0.439618
-3.0,1,0.470066
-3.0,1,0.497591
-3.05,2,0.523574
-3.05,2,0.550552
-3.05,2,0.574232
-3.05,2,0.597491
-1.75,15,0.640052
3.7,9,0.677851
-3.05,2,0.703411
-3.35,8,0.738273
-3.1,3,0.772189
-3.55,12,0.810969
4.45,4,0.841744
-3.1,3,0.873926
-3.25,6,0.906177
-3.0,1,0.927882
4.45,4,0.958788
-3.0,1,0.983763
4.6,3,1.010306
-3.0,1,1.036703
-3.0,1,1.059899
-3.05,2,1.083155
-3.0,1,1.105157
-3.05,2,1.131647
-3.1,3,1.157869
-3.1,3,1.183114
-3.0,1,1.208968
-3.1,3,1.23515
-3.0,1,1.261966
4.3,5,1.292788
-3.1,3,1.322907
-3.6,13,1.369925
4.9,1,1.398213
-3.05,2,1.432453
-3.05,2,1.464563
4.6,3,1.489319
-3.05,2,1.51906
-3.1,3,1.544518
-3.05,2,1.57033
-3.15,4,1.59913
-3.0,1,1.625939
-3.05,2,1.654021
-3.2,5,1.685541
3.7,9,1.723916
-3.0,1,1.751557
-3.0,1,1.773686
-3.0,1,1.797835
-3.0,1,1.826213
-3.0,1,1.849529
-3.7,15,1.891911
-3.0,1,1.914583
-3.2,5,1.946832
-3.0,1,1.978658
-3.05,2,2.012828
4.75,2,2.041977
-3.0,1,2.066872
-3.05,2,2.094836
-3.0,1,2.120864
-3.0,1,2.143894
-3.0,1,2.169531
4.9,1,2.198176
4.0,7,2.232685
-3.1,3,2.272373
-3.0,1,2.306196
-3.0,1,2.338302
-3.1,3,2.512496
-3.0,1,2.533739
-3.0,1,2.557259
-3.25,6,2.586889
4.9,1,2.611554
-3.0,1,2.63548
4.3,5,2.668794
4.45,4,2.70286
4.6,3,2.73143
-3.05,2,2.755876
4.15,6,2.788706
-3.1,3,2.814351
4.3,5,2.852369
4.6,3,2.878335
-3.0,1,2.899903
-3.2,5,2.932068
3.85,8,2.97258
-3.65,14,3.024381
4.9,1,3.052945
-3.0,1,3.078797
4.3,5,3.115678
-3.35,8,3.152046
-3.15,4,3.178309
-3.2,5,3.206489
-3.0,1,3.228305
-3.0,1,3.256418
-1.75,15,3.30723
-3.0,1,3.333395
-3.05,2,3.357676
-3.05,2,3.380802
-3.05,2,3.40384
-3.15,4,3.431824
4.45,4,3.465018
-3.15,4,3.492164
-3.05,2,3.516301
