episode,reward,length,elapsed_seconds
1,4.3,5,0.042742013931274414
2,-3.1,3,0.0673682689666748
3,4.3,5,0.09946393966674805
4,-3.25,6,0.133636474609375
5,-3.0,1,0.15481185913085938
6,-3.1,3,0.1871325969696045
7,-3.1,3,0.21177077293395996
8,-3.0,1,0.23594188690185547
9,4.6000000000000005,3,0.26256728172302246
10,-3.15,4,0.2943601608276367
11,3.4,11,0.3349301815032959
12,-3.05,2,0.3608980178833008
13,-3.05,2,0.3872823715209961
14,-3.1,3,0.4116020202636719
15,-3.0,1,0.4315943717956543
16,-3.0,1,0.45392274856567383
17,4.0,7,0.4850006103515625
18,4.15,6,0.5209057331085205
19,-3.05,2,0.553469181060791
20,-3.2,5,0.5862836837768555
21,-3.15,4,0.6198556423187256
22,3.4,11,0.6605193614959717
23,-3.05,2,0.6838099956512451
24,-3.15,4,0.7086300849914551
25,-3.15,4,0.736605167388916
26,-3.0,1,0.7586987018585205
27,-3.0,1,0.7832698822021484
28,-3.0,1,0.8098461627960205
29,-3.05,2,0.8402955532073975
30,-3.0,1,0.8676707744598389
31,-3.0,1,0.8944966793060303
32,3.6999999999999997,9,0.9358766078948975
33,4.449999999999999,4,0.9679734706878662
34,-3.0,1,0.9938979148864746
35,-3.15,4,1.0242042541503906
36,3.55,10,1.0711932182312012
37,4.0,7,1.1123828887939453
38,-3.15,4,1.1424229145050049
39,-3.35,8,1.182457685470581
40,-3.1,3,1.2086100578308105
41,3.85,8,1.2485535144805908
42,-3.0,1,1.279721736907959
43,-3.1,3,1.3058159351348877
44,-3.0,1,1.3320295810699463
45,-3.2,5,1.3626573085784912
46,-3.1,3,1.388383150100708
47,-3.1,3,1.4177823066711426
48,-3.1,3,1.4434614181518555
49,-3.1,3,1.4688162803649902
50,-1.75,15,1.5114109516143799
51,-3.2,5,1.5391886234283447
52,-3.0,1,1.5627717971801758
53,-3.0,1,1.5890679359436035
54,-3.05,2,1.6200299263000488
55,-3.25,6,1.6554362773895264
56,-3.05,2,1.6850879192352295
57,-3.25,6,1.7287051677703857
58,-3.3,7,1.7626333236694336
59,-3.1,3,1.7872426509857178
60,-3.05,2,1.810300350189209
61,-3.6,13,1.853039026260376
62,-3.45,10,2.0317962169647217
63,-3.15,4,2.060096025466919
64,-3.1,3,2.0857937335968018
65,-3.35,8,2.121222734451294
66,-3.1,3,2.149365186691284
67,4.15,6,2.181781530380249
68,-3.05,2,2.2086498737335205
69,-3.3,7,2.2410662174224854
70,4.9,1,2.265113592147827
71,3.85,8,2.300739049911499
72,-3.2,5,2.3308115005493164
73,-3.0,1,2.354084014892578
74,-3.2,5,2.386531114578247
75,-3.05,2,2.4118614196777344
76,4.9,1,2.4359564781188965
77,3.6999999999999997,9,2.4775915145874023
78,-3.0,1,2.501033306121826
79,-3.0,1,2.5263071060180664
80,-1.75,15,2.5799310207366943
81,-3.0,1,2.608402967453003
82,-3.0,1,2.635115385055542
83,-3.05,2,2.6653287410736084
84,-3.05,2,2.6993227005004883
85,-3.35,8,2.7343556880950928
86,-3.0,1,2.7609212398529053
87,-3.55,12,2.8099493980407715
88,4.3,5,2.846494197845459
89,-3.15,4,2.876753568649292
90,3.85,8,2.916562557220459
91,-3.05,2,2.9481213092803955
92,4.449999999999999,4,2.9867637157440186
93,-3.0,1,3.0147016048431396
94,-3.0,1,3.04416823387146
95,4.6000000000000005,3,3.0735104084014893
96,-3.15,4,3.1047189235687256
97,-3.0,1,3.137585163116455
98,-3.2,5,3.1762590408325195
99,-3.0,1,3.19889497756958
100,3.85,8,3.2374677658081055
101,-3.05,2,3.26369047164917
102,-3.0,1,3.2893154621124268
103,-3.05,2,3.315563917160034
104,-3.25,6,3.3490965366363525
105,4.3,5,3.3801040649414062
106,-3.1,3,3.4064035415649414
107,-3.0,1,3.4353837966918945
108,-3.05,2,3.47049880027771
109,-3.1,3,3.503323793411255
110,-3.45,10,3.5402045249938965
111,-3.15,4,3.5686256885528564
112,-3.3,7,3.5979676246643066
113,-3.1,3,3.625744581222534
114,-1.75,15,3.6744484901428223
115,-3.6,13,3.7150890827178955
116,-3.55,12,3.751478672027588
117,-3.05,2,3.7779605388641357
118,4.9,1,3.800205707550049
119,-3.1,3,3.82672381401062
120,-3.0,1,3.8524017333984375
121,-3.05,2,4.042508840560913
122,-3.15,4,4.069788694381714
