#{"t_start": 1787939895.8693724, "env_id": "None"}
r,l,t
-3.1,3,0.036433
-3.05,2,0.061795
-3.0,1,0.089442
-3.05,2,0.113856
-3.15,4,0.146141
-3.0,1,0.171357
4.9,1,0.199958
-3.0,1,0.232091
-3.3,7,0.266872
-3.0,1,0.287772
-3.0,1,0.312475
4.45,4,0.343533
-3.0,1,0.368937
-3.05,2,0.395595
-3.35,8,0.430298
-3.3,7,0.465027
-3.05,2,0.497728
-3.05,2,0.531786
-3.1,3,0.56628
4.45,4,0.602223
-3.15,4,0.641677
-3.15,4,0.67597
4.45,4,0.703361
-3.0,1,0.726476
-3.1,3,0.757327
-3.15,4,0.788712
-3.1,3,0.816681
-3.2,5,0.850282
4.15,6,0.888361
4.75,2,0.916197
-3.1,3,0.948164
-3.05,2,0.976005
4.3,5,1.01458
-3.0,1,1.044462
-3.05,2,1.075326
-3.1,3,1.104648
-3.0,1,1.131269
3.4,11,1.174648
-3.15,4,1.20611
-3.45,10,1.24775
-3.05,2,1.271425
4.45,4,1.299097
-3.05,2,1.320687
-3.3,7,1.356026
-3.4,9,1.388108
-3.05,2,1.417208
4.6,3,1.447385
4.0,7,1.481126
-3.1,3,1.510769
4.45,4,1.537333
-3.1,3,1.564376
-3.05,2,1.58868
-3.0,1,1.614996
4.3,5,1.644131
-3.05,2,1.668803
4.45,4,1.698939
-3.0,1,1.718207
-3.1,3,1.748256
-3.0,1,1.776333
-3.05,2,1.802822
4.6,3,1.828008
-3.15,4,1.855295
-3.55,12,1.894697
-3.0,1,1.916691
-3.4,9,1.950865
-3.25,6,1.982999
-3.6,13,2.032747
-3.25,6,2.062587
-3.0,1,2.233481
4.45,4,2.267704
-3.1,3,2.296519
-3.3,7,2.331928
3.55,10,2.375268
3.25,12,2.414912
-3.6,13,2.464078
-3.05,2,2.49097
-3.0,1,2.5171
-3.15,4,2.551345
4.15,6,2.588793
-3.0,1,2.616326
4.75,2,2.644511
-3.1,3,2.670059
4.9,1,2.695868
-3.0,1,2.721594
3.7,9,2.764898
4.9,1,2.788153
-3.1,3,2.816746
-3.15,4,2.843833
-3.1,3,2.869605
-3.0,1,2.890382
-3.0,1,2.912036
-3.0,1,2.934042
-3.2,5,2.961948
-3.0,1,2.986102
-3.1,3,3.016395
-3.25,6,3.049262
-3.0,1,3.071859
-3.2,5,3.103185
-3.0,1,3.126128
4.6,3,3.16389
-3.05,2,3.188204
-3.0,1,3.214875
4.15,6,3.246731
-3.05,2,3.270647
-3.0,1,3.293765
-3.2,5,3.324522
-3.0,1,3.350095
-3.0,1,3.378324
-3.25,6,3.407156
-3.05,2,3.435589
-1.75,15,3.484756
-3.3,7,3.524319
4.0,7,3.559638
-3.05,2,3.584251
-3.05,2,3.607258
-3.1,3,3.632766
-3.15,4,3.65781
4.45,4,3.686381
-3.2,5,3.714756
-3.15,4,3.744145
-3.35,8,3.77591
-3.2,5,3.80445
-3.0,1,3.832631
-3.1,3,3.862012
-3.1,3,3.886641
4.75,2,3.913656
4.6,3,3.940407
4.75,2,3.966844
-3.35,8,4.004848
-3.15,4,4.033605
-3.5,11,4.072988
4.75,2,4.099197
-3.0,1,4.11877
-1.75,15,4.345428
-3.0,1,4.370697
-3.05,2,4.395927
-3.15,4,4.421653
-3.1,3,4.449614
-3.15,4,4.475938
4.45,4,4.500851
4.3,5,4.539628
-3.0,1,4.564884
4.0,7,4.594101
4.45,4,4.621993
3.55,10,4.66069
-3.0,1,4.684077
-3.0,1,4.705278
4.45,4,4.733694
-3.15,4,4.762327
4.6,3,4.794543
-3.05,2,4.817266
-3.0,1,4.849087
-3.0,1,4.879354
-3.3,7,4.919316
-3.0,1,4.948578
-3.15,4,4.97721
4.0,7,5.009753
4.6,3,5.032873
-3.0,1,5.060622
-3.0,1,5.084163
4.45,4,5.113666
-3.05,2,5.136112
-3.0,1,5.159573
3.55,10,5.199262
4.75,2,5.2262
3.55,10,5.26616
-3.1,3,5.292071
4.0,7,5.324226
-3.15,4,5.350679
4.75,2,5.378992
4.3,5,5.409146
4.45,4,5.436703
-3.05,2,5.464205
-3.05,2,5.492699
-3.0,1,5.518833
3.7,9,5.558814
-3.05,2,5.585838
4.3,5,5.624237
4.6,3,5.655016
-3.1,3,5.682698
-3.0,1,5.704468
-3.15,4,5.736847
-3.0,1,5.757731
-3.45,10,5.797153
-3.05,2,5.821101
-3.05,2,5.851264
-3.1,3,5.878269
-3.15,4,5.904707
-3.05,2,5.931165
-3.45,10,5.96944
-3.4,9,6.003427
-3.55,12,6.04072
4.0,7,6.074994
-3.0,1,6.098049
-3.0,1,6.119601
-3.15,4,6.147528
-3.15,4,6.173755
-3.0,1,6.197762
-3.4,9,6.382952
-3.05,2,6.404927
-3.1,3,6.429592
-3.1,3,6.454766
-3.05,2,6.481416
-3.2,5,6.508557
-3.1,3,6.533734
-3.0,1,6.557859
-3.05,2,6.583377
-3.15,4,6.615448
-3.15,4,6.647064
-1.75,15,6.692678
-3.0,1,6.721374
3.55,10,6.76594
-3.05,2,6.791306
-3.15,4,6.820008
-3.15,4,6.847926
4.15,6,6.880509
-3.5,11,6.922611
