#{"t_start": 1787938392.8354328, "env_id": "None"}
r,l,t
4.3,5,0.042391
-3.1,3,0.070376
4.3,5,0.105776
-3.25,6,0.143696
-3.0,1,0.170372
-3.1,3,0.204153
-3.1,3,0.235849
-3.0,1,0.256901
4.6,3,0.279719
-3.15,4,0.30944
3.4,11,0.351989
-3.05,2,0.379963
-3.05,2,0.409487
-3.1,3,0.437833
-3.0,1,0.461029
-3.0,1,0.485284
4.0,7,0.519459
4.15,6,0.553665
-3.05,2,0.577916
-3.2,5,0.606531
-3.15,4,0.634284
3.4,11,0.670998
-3.05,2,0.69351
-3.15,4,0.722399
-3.15,4,0.759472
-3.0,1,0.782901
-3.0,1,0.807698
-3.0,1,0.829815
-3.05,2,0.861377
-3.0,1,0.886278
-3.0,1,0.908767
3.7,9,0.953566
4.45,4,0.983505
-3.0,1,1.005612
-3.15,4,1.035279
3.55,10,1.073552
4.0,7,1.105194
-3.15,4,1.13318
-3.35,8,1.171011
-3.1,3,1.199144
3.85,8,1.23449
-3.0,1,1.259597
-3.1,3,1.291943
-3.0,1,1.311962
-3.2,5,1.340082
-3.1,3,1.366558
-3.1,3,1.394429
-3.1,3,1.421031
-3.1,3,1.447576
-1.75,15,1.494243
-3.2,5,1.52817
-3.0,1,1.557309
-3.0,1,1.590159
-3.05,2,1.623583
-3.25,6,1.660825
-3.05,2,1.691907
-3.25,6,1.727578
-3.3,7,1.765126
-3.1,3,1.796195
-3.05,2,1.822105
-3.6,13,1.867052
-3.45,10,2.053308
-3.15,4,2.079289
-3.1,3,2.107694
-3.35,8,2.148424
-3.1,3,2.184056
4.15,6,2.218987
-3.05,2,2.249043
-3.3,7,2.284131
4.9,1,2.305075
3.85,8,2.3377
-3.2,5,2.369415
-3.0,1,2.396055
-3.2,5,2.424674
-3.05,2,2.44605
4.9,1,2.470245
3.7,9,2.511865
-3.0,1,2.542784
-3.0,1,2.573696
-1.75,15,2.623808
-3.0,1,2.65298
-3.0,1,2.675863
-3.05,2,2.701177
-3.05,2,2.727551
-3.35,8,2.760936
-3.0,1,2.786971
-3.55,12,2.826295
4.3,5,2.858019
-3.15,4,2.888421
3.85,8,2.927171
