#{"t_start": 1787939038.7012007, "env_id": "None"}
r,l,t
-3.15,4,0.039738
-3.0,1,0.065049
-3.0,1,0.088597
4.3,5,0.118077
3.85,8,0.149672
-3.0,1,0.172162
-3.05,2,0.196251
-3.25,6,0.226635
-3.05,2,0.251096
-3.0,1,0.272266
4.15,6,0.302641
-3.3,7,0.338947
-3.0,1,0.361628
-3.0,1,0.387257
-3.1,3,0.41543
-3.0,1,0.442511
-3.1,3,0.474502
-3.05,2,0.498186
-3.3,7,0.530721
4.45,4,0.558917
-3.0,1,0.583273
-1.75,15,0.626132
-3.1,3,0.652622
-3.4,9,0.685987
3.85,8,0.721493
-3.1,3,0.749809
4.3,5,0.77993
-3.05,2,0.803687
-3.1,3,0.830015
-3.0,1,0.853066
4.75,2,0.879643
-3.5,11,0.924418
-3.2,5,0.958491
4.3,5,0.99058
4.15,6,1.025525
4.6,3,1.05859
-3.0,1,1.082667
-3.5,11,1.125637
-3.3,7,1.166913
-3.15,4,1.195238
4.15,6,1.230206
3.55,10,1.274732
-3.15,4,1.313561
-3.05,2,1.351249
-3.3,7,1.394536
-3.05,2,1.424042
-3.0,1,1.447998
-3.6,13,1.49826
-3.3,7,1.530983
4.45,4,1.555911
-3.0,1,1.580375
4.6,3,1.608069
-3.0,1,1.636267
-3.0,1,1.659131
-3.05,2,1.686868
-3.25,6,1.717961
4.6,3,1.747849
3.85,8,1.779353
-1.75,15,1.977048
-3.05,2,2.004375
-3.05,2,2.027863
4.0,7,2.060104
4.45,4,2.089946
3.7,9,2.128829
-3.1,3,2.156224
-3.65,14,2.200242
4.45,4,2.226542
4.15,6,2.257412
-3.0,1,2.279067
-3.25,6,2.309853
-3.45,10,2.347526
-3.2,5,2.377105
-3.0,1,2.403029
-3.0,1,2.428766
-1.75,15,2.480527
4.45,4,2.51807
-3.5,11,2.559143
-3.4,9,2.598674
4.0,7,2.634107
-3.15,4,2.666286
-3.0,1,2.688238
-3.15,4,2.715155
4.6,3,2.745473
-3.25,6,2.783823
-3.0,1,2.809151
-3.0,1,2.840919
-3.0,1,2.866565
4.6,3,2.899117
-3.15,4,2.928078
-3.05,2,2.953205
3.7,9,2.987472
-3.25,6,3.017001
-1.75,15,3.062797
-3.05,2,3.08758
-3.2,5,3.118406
-3.1,3,3.140955
-3.1,3,3.167858
-3.15,4,3.194968
-3.2,5,3.224269
-3.05,2,3.247844
4.6,3,3.276467
-3.25,6,3.308434
-3.15,4,3.339175
-3.2,5,3.365815
-3.1,3,3.393666
-3.0,1,3.418479
-3.0,1,3.438212
-3.3,7,3.470734
-3.25,6,3.503814
-1.75,15,3.708673
-3.35,8,3.74865
-3.0,1,3.773547
-3.6,13,3.81629
-3.05,2,3.841168
4.6,3,3.869154
-3.0,1,3.891333
-3.0,1,3.919953
4.6,3,3.948215
-3.05,2,3.976342
4.3,5,4.014895
-3.0,1,4.040628
-3.1,3,4.071212
4.6,3,4.102867
-3.0,1,4.133178
-3.0,1,4.15712
-3.0,1,4.179676
3.85,8,4.218197
3.1,13,4.266548
4.15,6,4.299143
-3.15,4,4.326781
4.0,7,4.368042
-3.1,3,4.399133
-3.05,2,4.427669
4.3,5,4.46025
-3.05,2,4.485891
-3.1,3,4.514662
-3.1,3,4.54583
-3.0,1,4.572312
4.3,5,4.602608
4.45,4,4.631123
-3.55,12,4.672619
4.15,6,4.715024
-3.15,4,4.750761
4.6,3,4.781344
4.0,7,4.822346
-3.2,5,4.851891
-3.1,3,4.880489
-3.3,7,4.917369
-3.0,1,4.941787
-3.1,3,4.969621
-3.4,9,5.009583
-3.25,6,5.043161
-3.05,2,5.071729
4.9,1,5.100518
-3.0,1,5.123117
-3.25,6,5.152637
-3.0,1,5.174202
-3.1,3,5.200027
4.45,4,5.230866
-3.05,2,5.256522
4.45,4,5.284885
4.0,7,5.316462
-3.05,2,5.340202
-3.1,3,5.366869
-3.0,1,5.389562
3.7,9,5.424235
3.55,10,5.462904
-3.0,1,5.490738
-3.0,1,5.512896
3.85,8,5.702881
4.45,4,5.736893
-3.65,14,5.793386
4.0,7,5.835598
-3.0,1,5.858636
-3.1,3,5.891109
-3.15,4,5.923374
-3.05,2,5.949366
-3.1,3,5.978546
-3.05,2,6.007055
-3.0,1,6.033796
-3.15,4,6.064783
-3.0,1,6.087156
-3.25,6,6.122256
-3.0,1,6.147706
-3.0,1,6.17507
-3.1,3,6.20055
4.9,1,6.226444
-3.05,2,6.249802
-1.75,15,6.297394
-3.0,1,6.320563
4.45,4,6.352243
-3.1,3,6.375857
-3.0,1,6.39943
-3.25,6,6.426674
2.95,14,6.472107
3.7,9,6.504137
3.55,10,6.541113
4.6,3,6.567159
-3.4,9,6.602754
-3.0,1,6.623726
-3.15,4,6.650115
-3.45,10,6.688271
4.9,1,6.710015
-3.4,9,6.744579
-3.05,2,6.768739
-3.2,5,6.79749
-3.15,4,6.822721
-3.0,1,6.84659
4.3,5,6.878169
-3.25,6,6.908996
-3.25,6,6.940884
-3.4,9,6.98136
-3.6,13,7.028409
-1.75,15,7.078236
-3.15,4,7.108962
-3.05,2,7.135436
4.15,6,7.172588
-3.0,1,7.197977
-3.0,1,7.222593
-3.05,2,7.25319
-3.0,1,7.282965
-3.05,2,7.31255
4.45,4,7.34148
3.85,8,7.56479
-3.0,1,7.591737
-3.0,1,7.616296
4.45,4,7.649042
-3.4,9,7.687954
-3.25,6,7.723247
-3.0,1,7.754908
4.6,3,7.78917
-3.05,2,7.816046
-3.05,2,7.840499
-3.45,10,7.877572
-3.0,1,7.900583
-3.0,1,7.923815
-3.0,1,7.942995
-3.7,15,7.989681
4.75,2,8.022545
4.3,5,8.058155
-3.0,1,8.0818
-3.3,7,8.114665
-3.45,10,8.15165
-3.1,3,8.176339
3.85,8,8.211898
-3.3,7,8.247672
-3.5,11,8.289093
-3.0,1,8.314846
-3.2,5,8.350314
4.6,3,8.37856
-3.15,4,8.414332
-3.4,9,8.45494
3.4,11,8.493587
-3.1,3,8.523216
-3.0,1,8.548198
-3.0,1,8.570951
3.85,8,8.606245
-3.05,2,8.634636
-3.05,2,8.658853
-3.15,4,8.692021
-3.0,1,8.715159
4.75,2,8.742776
-3.25,6,8.781463
4.3,5,8.811907
-3.15,4,8.839678
4.75,2,8.872626
-3.35,8,8.918756
-3.1,3,8.944097
4.45,4,8.976135
-3.1,3,9.007811
-3.05,2,9.039701
-3.05,2,9.072667
-3.05,2,9.104009
-3.1,3,9.141003
-3.05,2,9.168132
-3.35,8,9.202876
-3.05,2,9.226021
-3.0,1,9.245407
4.0,7,9.279708
4.45,4,9.307123
-3.2,5,9.341502
-3.0,1,9.365572
